,filename,flight_time,iothub_time,end_to_end_time,messagesendutctime,iothubutctime,s3creationutctime,audiotranslation
17,1025200.wav,36.878,111.0,147.878,2018-11-29 04:02:37.852122,2018-11-29 04:02:37.889000,2018-11-29 04:02:38.000000,com is a big eater
18,1025262.wav,44.31399999999999,1089.0,1133.314,2018-11-29 00:38:23.866686,2018-11-29 00:38:23.911000,2018-11-29 00:38:25.000000,tom has to take the test again
19,1025358.wav,59.595,206.0,265.595,2018-11-29 05:17:11.734405,2018-11-29 05:17:11.794000,2018-11-29 05:17:12.000000,tom has low blood pressure
20,1025417.wav,43.778,398.0,441.778,2018-11-29 02:56:15.558222,2018-11-29 02:56:15.602000,2018-11-29 02:56:16.000000,calm has been studying french for the last three years
21,1025449.wav,48.9,817.0,865.9,2018-11-29 01:52:07.134100,2018-11-29 01:52:07.183000,2018-11-29 01:52:08.000000,tom has a very decent salary
22,1025534.wav,38.946999999999996,739.0,777.947,2018-11-29 05:15:02.222053,2018-11-29 05:15:02.261000,2018-11-29 05:15:03.000000,tom had to make the difficult decisions
23,1025580.wav,38.485,110.0,148.485,2018-11-29 02:29:38.851515,2018-11-29 02:29:38.890000,2018-11-29 02:29:39.000000,tom had his wallet stolen on the train
24,1025664.wav,41.931,330.0,371.931,2018-11-29 04:00:43.628069,2018-11-29 04:00:43.670000,2018-11-29 04:00:44.000000,tom got angry when he found the door locked
25,1025756.wav,43.473,171.0,214.473,2018-11-29 02:06:33.785527,2018-11-29 02:06:33.829000,2018-11-29 02:06:34.000000,tom finally got ahold of the rare stamp he wanted
26,1025776.wav,71.42,986.0,1057.42,2018-11-29 04:33:36.942580,2018-11-29 04:33:37.014000,2018-11-29 04:33:38.000000,tom felton cold rain on his face
27,1025854.wav,53.386,136.0,189.386,2018-11-29 03:35:07.810614,2018-11-29 03:35:07.864000,2018-11-29 03:35:08.000000,khan eats like a bird
28,1025917.wav,55.98,190.0,245.98,2018-11-29 05:22:05.754020,2018-11-29 05:22:05.810000,2018-11-29 05:22:06.000000,time doesn't want to go anywhere in particular
29,1025955.wav,53.03,409.0,462.03,2018-11-29 02:17:36.537970,2018-11-29 02:17:36.591000,2018-11-29 02:17:37.000000,tom doesn't speak french at home
30,1026186.wav,41.144,739.0,780.1439999999999,2018-11-29 03:39:19.219856,2018-11-29 03:39:19.261000,2018-11-29 03:39:20.000000,tom doesn't feel up to reading anything today
31,1026189.wav,39.367,579.0,618.367,2018-11-29 03:53:50.381633,2018-11-29 03:53:50.421000,2018-11-29 03:53:51.000000,tom doesn't feel like taking a walk with his dog this morning
32,1026244.wav,45.56500000000001,386.0,431.565,2018-11-29 03:35:24.568435,2018-11-29 03:35:24.614000,2018-11-29 03:35:25.000000,tom died three days after he arrived in boston
33,1026425.wav,38.397,312.0,350.397,2018-11-29 04:35:31.649603,2018-11-29 04:35:31.688000,2018-11-29 04:35:32.000000,khan didn't even try to do the right thing
34,1026522.wav,46.033,88.0,134.03300000000002,2018-11-29 01:08:55.865967,2018-11-29 01:08:55.912000,2018-11-29 01:08:56.000000,khan decided to go to boston
35,1026927.wav,49.345,589.0,638.345,2018-11-29 05:00:03.361655,2018-11-29 05:00:03.411000,2018-11-29 05:00:04.000000,tom called me by name
36,1027033.wav,56.565,988.0,1044.565,2018-11-29 01:00:38.955435,2018-11-29 01:00:39.012000,2018-11-29 01:00:40.000000,tom became an engineer
37,1027051.wav,42.20800000000001,161.0,203.208,2018-11-29 02:25:57.796792,2018-11-29 02:25:57.839000,2018-11-29 02:25:58.000000,comment three eggs on a slice of toast
38,1027115.wav,40.359,820.0,860.3589999999999,2018-11-29 01:24:07.139641,2018-11-29 01:24:07.180000,2018-11-29 01:24:08.000000,tom appears to be a friendly guy
39,1027164.wav,38.589,307.0,345.589,2018-11-29 04:26:19.654411,2018-11-29 04:26:19.693000,2018-11-29 04:26:20.000000,tom always makes it a rule never to ask a while and her age
40,1027184.wav,41.31200000000001,434.0,475.31199999999995,2018-11-29 01:06:29.524688,2018-11-29 01:06:29.566000,2018-11-29 01:06:30.000000,tom always those things the same old way
41,1027245.wav,38.602,818.0,856.602,2018-11-29 04:04:18.143398,2018-11-29 04:04:18.182000,2018-11-29 04:04:19.000000,tom abuses his authorities so no one likes
42,1027351.wav,38.366,271.0,309.366,2018-11-29 01:59:23.690634,2018-11-29 01:59:23.729000,2018-11-29 01:59:24.000000,part of what tom said was true
43,1027433.wav,49.34,963.0,1012.34,2018-11-29 03:48:24.987660,2018-11-29 03:48:25.037000,2018-11-29 03:48:26.000000,i figured out why tom is always late
44,1027526.wav,42.54600000000001,684.0,726.546,2018-11-29 05:16:40.273454,2018-11-29 05:16:40.316000,2018-11-29 05:16:41.000000,i saw com wiping his fingerprints off the door knob
45,1027908.wav,52.718,449.0,501.718,2018-11-29 05:25:45.498282,2018-11-29 05:25:45.551000,2018-11-29 05:25:46.000000,tom told mary that he'd be free tomorrow
46,1027990.wav,37.158,535.0,572.158,2018-11-29 05:50:13.427842,2018-11-29 05:50:13.465000,2018-11-29 05:50:14.000000,com's goal mary's computer
47,1028281.wav,38.099,287.0,325.0990000000001,2018-11-29 03:43:08.674901,2018-11-29 03:43:08.713000,2018-11-29 03:43:09.000000,khan needs to talk to marry
48,1028365.wav,39.62600000000001,76.0,115.626,2018-11-29 02:58:58.884374,2018-11-29 02:58:58.924000,2018-11-29 02:58:59.000000,tom let go of mary's hand
49,1028394.wav,41.35,777.0,818.35,2018-11-29 00:41:38.181650,2018-11-29 00:41:38.223000,2018-11-29 00:41:39.000000,tom knows whom areas
50,1028417.wav,38.94000000000001,310.0,348.94,2018-11-29 02:12:12.651060,2018-11-29 02:12:12.690000,2018-11-29 02:12:13.000000,tom knows better than to argue with mary
51,1028875.wav,38.637,629.0,667.6370000000002,2018-11-29 02:11:44.332363,2018-11-29 02:11:44.371000,2018-11-29 02:11:45.000000,calm gays marry some good advice about how to write songs
52,1028933.wav,42.161,201.0,243.16099999999997,2018-11-29 04:15:29.756839,2018-11-29 04:15:29.799000,2018-11-29 04:15:30.000000,tom first met marry in boston
53,1029126.wav,39.286,1007.0,1046.286,2018-11-29 03:34:40.953714,2018-11-29 03:34:40.993000,2018-11-29 03:34:42.000000,tom doesn't know what to do without mary
54,1029294.wav,28.873,441.0,469.87300000000005,2018-11-29 02:59:49.530127,2018-11-29 02:59:49.559000,2018-11-29 02:59:50.000000,khan didn't know when mary was planning to go to boston
55,1029329.wav,49.608999999999995,1053.0,1102.609,2018-11-29 04:38:18.897391,2018-11-29 04:38:18.947000,2018-11-29 04:38:20.000000,tom didn't expect that mary without smart and
56,1029455.wav,40.52,626.0,666.52,2018-11-29 04:46:59.333480,2018-11-29 04:46:59.374000,2018-11-29 04:47:00.000000,calm concealed his anger from mary
57,1029462.wav,40.172,185.0,225.172,2018-11-29 05:48:22.774828,2018-11-29 05:48:22.815000,2018-11-29 05:48:23.000000,khan changed his mind about going out with mary and stayed home
58,1029621.wav,41.673,339.0,380.673,2018-11-29 02:02:28.619327,2018-11-29 02:02:28.661000,2018-11-29 02:02:29.000000,com esta mary who had given her the picture
59,1029633.wav,45.053,363.0,408.05300000000005,2018-11-29 02:11:59.591947,2018-11-29 02:11:59.637000,2018-11-29 02:12:00.000000,tom asked to marry where she usually went shopping
60,1029937.wav,41.81100000000001,580.0,621.811,2018-11-29 03:08:26.378189,2018-11-29 03:08:26.420000,2018-11-29 03:08:27.000000,common area are both still single
61,1058976.wav,56.85,411.0,467.85,2018-11-29 02:48:42.532150,2018-11-29 02:48:42.589000,2018-11-29 02:48:43.000000,revolutions that don't succeed are some forgotten
62,1062298.wav,39.427,780.0,819.427,2018-11-29 04:26:25.180573,2018-11-29 04:26:25.220000,2018-11-29 04:26:26.000000,i think i am overworked
63,1062745.wav,40.528,964.0,1004.528,2018-11-29 03:25:20.995472,2018-11-29 03:25:21.036000,2018-11-29 03:25:22.000000,i'll watch it to saying
64,1071653.wav,50.58,888.0,938.58,2018-11-29 02:31:56.061420,2018-11-29 02:31:56.112000,2018-11-29 02:31:57.000000,teachers who've before it gets cold
65,1077629.wav,44.891999999999996,560.0,604.8919999999998,2018-11-29 01:59:31.395108,2018-11-29 01:59:31.440000,2018-11-29 01:59:32.000000,i don't have anything to say
66,1079124.wav,41.548,829.0,870.548,2018-11-29 01:50:53.129452,2018-11-29 01:50:53.171000,2018-11-29 01:50:54.000000,i have a very good time tonight
67,1088158.wav,33.578,706.0,739.578,2018-11-29 00:37:25.260422,2018-11-29 00:37:25.294000,2018-11-29 00:37:26.000000,is anyone else going
68,1088551.wav,46.81399999999999,606.0,652.814,2018-11-29 04:49:22.347186,2018-11-29 04:49:22.394000,2018-11-29 04:49:23.000000,both of my parents are dead
69,1092109.wav,32.068000000000005,1078.0,1110.068,2018-11-29 01:18:33.889932,2018-11-29 01:18:33.922000,2018-11-29 01:18:35.000000,why does time i'm always look so tired
70,1092402.wav,40.565,670.0,710.565,2018-11-29 03:22:38.289435,2018-11-29 03:22:38.330000,2018-11-29 03:22:39.000000,tom was in no mood to talk to marry
71,1092465.wav,41.00700000000001,724.0,765.007,2018-11-29 02:26:22.234993,2018-11-29 02:26:22.276000,2018-11-29 02:26:23.000000,tom wants to borrow some money
72,1092476.wav,128.42100000000002,488.0,616.4209999999999,2018-11-29 01:45:04.383579,2018-11-29 01:45:04.512000,2018-11-29 01:45:05.000000,tom wants a bigger discount
73,1092621.wav,76.182,992.0,1068.182,2018-11-29 04:23:07.931818,2018-11-29 04:23:08.008000,2018-11-29 04:23:09.000000,tom try to remember the last time he had visited an art museum
74,1092686.wav,39.562,409.0,448.56199999999995,2018-11-29 02:47:56.551438,2018-11-29 02:47:56.591000,2018-11-29 02:47:57.000000,tom told me that he doesn't have a problem with that
75,1092786.wav,37.948,997.0,1034.948,2018-11-29 04:25:41.965052,2018-11-29 04:25:42.003000,2018-11-29 04:25:43.000000,tom five years of voices in the next room
76,1092831.wav,40.034,436.0,476.034,2018-11-29 01:32:05.523966,2018-11-29 01:32:05.564000,2018-11-29 01:32:06.000000,tom thinks about mary all the time
77,1092841.wav,41.451,873.0,914.451,2018-11-29 01:59:58.085549,2018-11-29 01:59:58.127000,2018-11-29 01:59:59.000000,tom got married into going out for coffee
78,1093105.wav,39.297,228.0,267.297,2018-11-29 00:51:27.732703,2018-11-29 00:51:27.772000,2018-11-29 00:51:28.000000,tom quickly climbed up the tree
79,1093536.wav,39.774,331.0,370.774,2018-11-29 00:56:52.629226,2018-11-29 00:56:52.669000,2018-11-29 00:56:53.000000,calm hopes you want the the leftovers again tonight
80,1093592.wav,38.696999999999996,792.0,830.697,2018-11-29 01:51:49.169303,2018-11-29 01:51:49.208000,2018-11-29 01:51:50.000000,tom has trouble dealing with verbal abuse
81,1093604.wav,40.137,830.0,870.1370000000002,2018-11-29 01:58:28.129863,2018-11-29 01:58:28.170000,2018-11-29 01:58:29.000000,calm has the habit of biting his nails
82,1093607.wav,34.961,993.0,1027.961,2018-11-29 05:42:11.972039,2018-11-29 05:42:12.007000,2018-11-29 05:42:13.000000,calm has something to say to you
83,1093609.wav,42.673,216.0,258.673,2018-11-29 05:32:51.741327,2018-11-29 05:32:51.784000,2018-11-29 05:32:52.000000,tom has something in his right hand
84,1093806.wav,49.367,133.0,182.36700000000002,2018-11-29 05:29:45.817633,2018-11-29 05:29:45.867000,2018-11-29 05:29:46.000000,calm has nothing to say
85,1093898.wav,45.144,528.0,573.144,2018-11-29 04:39:03.426856,2018-11-29 04:39:03.472000,2018-11-29 04:39:04.000000,tom grew up in an orphanage
86,1094116.wav,90.233,971.0,1061.2330000000004,2018-11-29 04:44:59.938767,2018-11-29 04:45:00.029000,2018-11-29 04:45:01.000000,tom felt guilty
87,1094246.wav,48.195,952.0,1000.195,2018-11-29 04:56:33.999805,2018-11-29 04:56:34.048000,2018-11-29 04:56:35.000000,tom doesn't want to take any chances
88,1094256.wav,43.395,272.0,315.395,2018-11-29 00:41:53.684605,2018-11-29 00:41:53.728000,2018-11-29 00:41:54.000000,tom doesn't want to go home
89,1094337.wav,39.521,555.0,594.521,2018-11-29 00:34:29.405479,2018-11-29 00:34:29.445000,2018-11-29 00:34:30.000000,tom doesn't think anything that is ever going to happen
90,1094615.wav,85.03399999999998,357.0,442.034,2018-11-29 01:38:36.557966,2018-11-29 01:38:36.643000,2018-11-29 01:38:37.000000,tom didn't want to bother marry while she was studying
91,1094618.wav,37.846,921.0,958.846,2018-11-29 03:59:14.041154,2018-11-29 03:59:14.079000,2018-11-29 03:59:15.000000,condit in one married to think he was away on
92,1094771.wav,41.142,1050.0,1091.142,2018-11-29 02:33:01.908858,2018-11-29 02:33:01.950000,2018-11-29 02:33:03.000000,tom didn't have any reason why he couldn't go
93,1094774.wav,40.39,88.0,128.39,2018-11-29 04:09:41.871610,2018-11-29 04:09:41.912000,2018-11-29 04:09:42.000000,tom didn't have any idea what a married man
94,1094850.wav,39.193000000000005,387.0,426.19300000000004,2018-11-29 03:03:07.573807,2018-11-29 03:03:07.613000,2018-11-29 03:03:08.000000,condit is as you suggested
95,1094963.wav,39.393,433.0,472.393,2018-11-29 06:00:50.527607,2018-11-29 06:00:50.567000,2018-11-29 06:00:51.000000,tom decided that it wouldn't be much fun to go camping along
96,1095070.wav,44.968999999999994,136.0,180.96900000000002,2018-11-29 01:38:16.819031,2018-11-29 01:38:16.864000,2018-11-29 01:38:17.000000,tom could roll out the possibility that mary didn't like him
97,1095152.wav,40.056999999999995,710.0,750.057,2018-11-29 02:50:03.249943,2018-11-29 02:50:03.290000,2018-11-29 02:50:04.000000,tom couldn't bring himself to pull the trigger
98,1095194.wav,40.604,1368.0,1408.604,2018-11-29 02:06:42.591396,2018-11-29 02:06:42.632000,2018-11-29 02:06:44.000000,calm could learn a thing or two from mary
99,1095337.wav,44.35,121.0,165.35,2018-11-29 04:09:53.834650,2018-11-29 04:09:53.879000,2018-11-29 04:09:54.000000,tom certainly talks as if he knows what he's talking about
100,1095449.wav,41.495,618.0,659.495,2018-11-29 01:27:41.340505,2018-11-29 01:27:41.382000,2018-11-29 01:27:42.000000,tom certainly has the right temperament for the job
101,1095496.wav,50.063,889.0,939.063,2018-11-29 04:42:37.060937,2018-11-29 04:42:37.111000,2018-11-29 04:42:38.000000,com's certainly doesn't get along very well with mary
102,1095515.wav,45.606,976.0,1021.6060000000001,2018-11-29 05:46:53.978394,2018-11-29 05:46:54.024000,2018-11-29 05:46:55.000000,tom certainly deserves to receive the award
103,1095561.wav,41.531000000000006,54.0,95.531,2018-11-29 05:26:42.904469,2018-11-29 05:26:42.946000,2018-11-29 05:26:43.000000,tom can't remember where he bought his pink socks
104,1095578.wav,38.59,980.0,1018.59,2018-11-29 03:08:49.981410,2018-11-29 03:08:50.020000,2018-11-29 03:08:51.000000,tom can't hide the truth anymore
105,1095598.wav,39.436,422.0,461.436,2018-11-29 02:47:24.538564,2018-11-29 02:47:24.578000,2018-11-29 02:47:25.000000,tom can do the job by himself would you mind helping him
106,1095604.wav,42.176,1056.0,1098.1760000000002,2018-11-29 02:12:20.901824,2018-11-29 02:12:20.944000,2018-11-29 02:12:22.000000,tom can't decide where to go
107,1095657.wav,41.551,692.0,733.5509999999998,2018-11-29 01:18:06.266449,2018-11-29 01:18:06.308000,2018-11-29 01:18:07.000000,context as to hear from us by the end of the month
108,1095710.wav,46.821999999999996,926.0,972.822,2018-11-29 03:57:00.027178,2018-11-29 03:57:00.074000,2018-11-29 03:57:01.000000,tom called mary at about two thirty
109,1095839.wav,39.681999999999995,113.0,152.68200000000004,2018-11-29 02:49:21.847318,2018-11-29 02:49:21.887000,2018-11-29 02:49:22.000000,tom asked the man at the front desk where he get his suit press
110,1096004.wav,38.714,513.0,551.714,2018-11-29 02:33:49.448286,2018-11-29 02:33:49.487000,2018-11-29 02:33:50.000000,common married both have quite a few friends
111,1108807.wav,47.453,177.0,224.453,2018-11-29 04:35:56.775547,2018-11-29 04:35:56.823000,2018-11-29 04:35:57.000000,this picture reminds me of when i was a student
112,1117762.wav,45.501999999999995,558.0,603.502,2018-11-29 04:08:15.396498,2018-11-29 04:08:15.442000,2018-11-29 04:08:16.000000,someone's watching me
113,1125715.wav,40.545,369.0,409.545,2018-11-29 01:09:37.590455,2018-11-29 01:09:37.631000,2018-11-29 01:09:38.000000,will you be home for christmas
114,1126776.wav,39.06500000000001,677.0,716.0649999999998,2018-11-29 01:54:24.283935,2018-11-29 01:54:24.323000,2018-11-29 01:54:25.000000,i eat with my baby brother
115,1139957.wav,32.553000000000004,1004.0,1036.553,2018-11-29 03:04:07.963447,2018-11-29 03:04:07.996000,2018-11-29 03:04:09.000000,i don't know why he's crying
116,1140129.wav,39.531,801.0,840.5310000000002,2018-11-29 01:25:47.159469,2018-11-29 01:25:47.199000,2018-11-29 01:25:48.000000,i was thinking about you
117,1141016.wav,78.932,171.0,249.93200000000002,2018-11-29 01:17:14.750068,2018-11-29 01:17:14.829000,2018-11-29 01:17:15.000000,tom wants to cheer mary out
118,1141028.wav,40.701,315.0,355.701,2018-11-29 04:24:36.644299,2018-11-29 04:24:36.685000,2018-11-29 04:24:37.000000,tom wants this room spotless
119,1141037.wav,40.584,302.0,342.584,2018-11-29 04:37:05.657416,2018-11-29 04:37:05.698000,2018-11-29 04:37:06.000000,tom wants a full explanation
120,1141056.wav,47.79,966.0,1013.79,2018-11-29 01:34:28.986210,2018-11-29 01:34:29.034000,2018-11-29 01:34:30.000000,tom waiting his turn
121,1141134.wav,49.681,927.0,976.681,2018-11-29 04:07:34.023319,2018-11-29 04:07:34.073000,2018-11-29 04:07:35.000000,tom things the answer is yes
122,1141181.wav,48.336000000000006,490.0,538.336,2018-11-29 04:50:48.461664,2018-11-29 04:50:48.510000,2018-11-29 04:50:49.000000,tom spent three weeks in boston
123,1141252.wav,38.619,300.0,338.619,2018-11-29 04:43:23.661381,2018-11-29 04:43:23.700000,2018-11-29 04:43:24.000000,how young do you think tom is
124,1158673.wav,46.653999999999996,804.0,850.654,2018-11-29 00:38:49.149346,2018-11-29 00:38:49.196000,2018-11-29 00:38:50.000000,is there anyone who wants some more pie
125,1164382.wav,62.876999999999995,941.0,1003.877,2018-11-29 02:39:34.996123,2018-11-29 02:39:35.059000,2018-11-29 02:39:36.000000,tom means to return this book by tomorrow evening
126,1164417.wav,43.137,1003.0,1046.1370000000004,2018-11-29 03:12:13.953863,2018-11-29 03:12:13.997000,2018-11-29 03:12:15.000000,tom might call married tonight
127,1177488.wav,50.158,255.0,305.158,2018-11-29 01:11:40.694842,2018-11-29 01:11:40.745000,2018-11-29 01:11:41.000000,tom has a pounding headache
128,1177568.wav,38.324,143.0,181.324,2018-11-29 05:46:58.818676,2018-11-29 05:46:58.857000,2018-11-29 05:46:59.000000,tom has time to like this
129,1177570.wav,42.035,957.0,999.035,2018-11-29 00:54:16.000965,2018-11-29 00:54:16.043000,2018-11-29 00:54:17.000000,tom has two jobs
130,1177601.wav,50.269,792.0,842.2689999999999,2018-11-29 02:40:24.157731,2018-11-29 02:40:24.208000,2018-11-29 02:40:25.000000,tom hopes to see you there
131,1187830.wav,31.134,765.0,796.1339999999999,2018-11-29 01:46:34.203866,2018-11-29 01:46:34.235000,2018-11-29 01:46:35.000000,when can i call you
132,1195679.wav,42.684,996.0,1038.684,2018-11-29 04:46:35.961316,2018-11-29 04:46:36.004000,2018-11-29 04:46:37.000000,i like eating cake
133,1199438.wav,47.92100000000001,173.0,220.921,2018-11-29 02:41:06.779079,2018-11-29 02:41:06.827000,2018-11-29 02:41:07.000000,i lost my job
134,1213645.wav,40.91,356.0,396.91,2018-11-29 03:31:27.603090,2018-11-29 03:31:27.644000,2018-11-29 03:31:28.000000,do you want me to take you to the doctor
135,1214823.wav,40.224,175.0,215.22400000000002,2018-11-29 04:43:55.784776,2018-11-29 04:43:55.825000,2018-11-29 04:43:56.000000,he has stopped smoking
136,1216859.wav,43.762,792.0,835.7620000000002,2018-11-29 02:33:35.164238,2018-11-29 02:33:35.208000,2018-11-29 02:33:36.000000,please choose a more secure password
137,1221666.wav,40.831,744.0,784.8309999999999,2018-11-29 05:51:38.215169,2018-11-29 05:51:38.256000,2018-11-29 05:51:39.000000,that has nothing to do with him
138,1230598.wav,46.12900000000001,1083.0,1129.129,2018-11-29 04:39:16.870871,2018-11-29 04:39:16.917000,2018-11-29 04:39:18.000000,i still want to go
139,1234240.wav,40.021,585.0,625.0210000000002,2018-11-29 02:00:46.374979,2018-11-29 02:00:46.415000,2018-11-29 02:00:47.000000,it's not that cold
140,1265336.wav,37.09,511.0,548.0899999999998,2018-11-29 05:08:20.451910,2018-11-29 05:08:20.489000,2018-11-29 05:08:21.000000,playing basketball is long
141,1267525.wav,41.497,1220.0,1261.497,2018-11-29 00:56:02.738503,2018-11-29 00:56:02.780000,2018-11-29 00:56:04.000000,the train arrived in london
142,1300824.wav,41.74,81.0,122.74,2018-11-29 02:42:13.877260,2018-11-29 02:42:13.919000,2018-11-29 02:42:14.000000,i'm leaving town for a few days
143,1311768.wav,47.591,646.0,693.591,2018-11-29 01:15:33.306409,2018-11-29 01:15:33.354000,2018-11-29 01:15:34.000000,take her to the you are
144,1316306.wav,43.992,372.0,415.992,2018-11-29 05:01:38.584008,2018-11-29 05:01:38.628000,2018-11-29 05:01:39.000000,he looks exactly like his brother
145,1317116.wav,37.748000000000005,645.0,682.748,2018-11-29 05:03:16.317252,2018-11-29 05:03:16.355000,2018-11-29 05:03:17.000000,it doesn't matter what excuse he gives me i can't forgive him
146,1318042.wav,41.104,659.0,700.1039999999998,2018-11-29 04:17:52.299896,2018-11-29 04:17:52.341000,2018-11-29 04:17:53.000000,tom doesn't want to go there alone
147,1318570.wav,40.331,572.0,612.3309999999999,2018-11-29 05:07:14.387669,2018-11-29 05:07:14.428000,2018-11-29 05:07:15.000000,tom didn't know the meaning of them will phobia so he did a quick web search to see if he could find out what it meant
148,1318884.wav,37.27500000000001,447.0,484.275,2018-11-29 05:39:17.515725,2018-11-29 05:39:17.553000,2018-11-29 05:39:18.000000,i'm sure i'll win the tennis match
149,1330977.wav,42.21,565.0,607.21,2018-11-29 03:53:28.392790,2018-11-29 03:53:28.435000,2018-11-29 03:53:29.000000,i'm a perfectionist
150,1334693.wav,44.466,787.0,831.466,2018-11-29 03:11:26.168534,2018-11-29 03:11:26.213000,2018-11-29 03:11:27.000000,we're all very proud of you
151,1357386.wav,44.591,733.0,777.591,2018-11-29 01:13:14.222409,2018-11-29 01:13:14.267000,2018-11-29 01:13:15.000000,will you go
152,1392883.wav,44.766000000000005,872.0,916.7660000000001,2018-11-29 05:45:30.083234,2018-11-29 05:45:30.128000,2018-11-29 05:45:31.000000,i'm on the eighth floor
153,1411224.wav,45.151,478.0,523.1510000000002,2018-11-29 00:51:14.476849,2018-11-29 00:51:14.522000,2018-11-29 00:51:15.000000,this is crazy
154,1424583.wav,41.926,1035.0,1076.9260000000004,2018-11-29 02:23:34.923074,2018-11-29 02:23:34.965000,2018-11-29 02:23:36.000000,the train left is exactly five o clock
155,1426578.wav,39.044,875.0,914.044,2018-11-29 06:01:58.085956,2018-11-29 06:01:58.125000,2018-11-29 06:01:59.000000,my uncle went to mexico in nineteen eighty three and never came back
156,1430144.wav,41.879,203.0,244.879,2018-11-29 02:27:20.755121,2018-11-29 02:27:20.797000,2018-11-29 02:27:21.000000,for teaser tom order chocolate birthday with the no ice cream
157,1439702.wav,72.465,409.0,481.465,2018-11-29 02:35:49.518535,2018-11-29 02:35:49.591000,2018-11-29 02:35:50.000000,i'm sorry to bother you so often
158,1444833.wav,40.378,693.0,733.3779999999998,2018-11-29 01:56:57.266622,2018-11-29 01:56:57.307000,2018-11-29 01:56:58.000000,tom fills unwanted
159,1450707.wav,55.004,1045.0,1100.004,2018-11-29 03:40:42.899996,2018-11-29 03:40:42.955000,2018-11-29 03:40:44.000000,since there were no taxis i had to walk
160,1451596.wav,39.604,735.0,774.6039999999998,2018-11-29 02:52:58.225396,2018-11-29 02:52:58.265000,2018-11-29 02:52:59.000000,the ring couldn't be found anywhere
161,1456141.wav,28.090999999999998,963.0,991.091,2018-11-29 03:38:15.008909,2018-11-29 03:38:15.037000,2018-11-29 03:38:16.000000,i had intended to go abroad
162,1468384.wav,59.614,760.0,819.6139999999998,2018-11-29 05:06:33.180386,2018-11-29 05:06:33.240000,2018-11-29 05:06:34.000000,i like painting to
163,1474786.wav,41.40300000000001,986.0,1027.403,2018-11-29 03:41:22.972597,2018-11-29 03:41:23.014000,2018-11-29 03:41:24.000000,cons of dreams came true
164,1476492.wav,38.555,369.0,407.555,2018-11-29 05:05:24.592445,2018-11-29 05:05:24.631000,2018-11-29 05:05:25.000000,calm has been working hard
165,1479263.wav,42.631,692.0,734.6310000000002,2018-11-29 01:49:46.265369,2018-11-29 01:49:46.308000,2018-11-29 01:49:47.000000,i drink two cups of coffee
