,audiofilename,audio_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,payloadsize,audiofilesize,audiofileobjectsize,audio_length,f_t0,f_t1,f_t2,f_t3,f_t4,f_t5,f_t6
28,1891083.wav,12.537435170799998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451796.24301,1543451802.24304,1543451802.25211,1543451802.2523699,1543451802.30359,168,82476,64,2,1543451796.2430198,1543451796.24303,1543451796.24316,1543451796.24609,1543451801.0234802,1543451802.24296,1543451802.2430198
29,4014232.wav,12.7719175559,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451802.35753,1543451807.7735,1543451807.7774699,1543451807.77774,1543451807.82845,164,82472,64,2,1543451802.3575401,1543451802.35755,1543451802.35768,1543451802.3608,1543451806.76396,1543451807.77343,1543451807.7734802
30,4494129.wav,12.0132417634,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451807.88454,1543451815.43839,1543451815.46925,1543451815.46951,1543451815.5214698,155,68062,64,2,1543451807.88455,1543451807.8845599,1543451807.88469,1543451807.88762,1543451813.2274,1543451815.43831,1543451815.43837
31,3155766.wav,12.1444406375,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451815.57372,1543451819.61922,1543451819.64083,1543451819.6410902,1543451819.69614,150,56214,64,1,1543451815.57373,1543451815.57375,1543451815.57387,1543451815.57691,1543451818.66482,1543451819.61915,1543451819.61921
32,1954557.wav,13.3574118113,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451819.74224,1543451832.8553,1543451832.90111,1543451832.90138,1543451832.95403,188,128254,64,4,1543451819.74225,1543451819.74227,1543451819.7424,1543451819.74542,1543451830.14721,1543451832.8552198,1543451832.8552802
33,5053200.wav,12.391411666500002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451833.02388,1543451839.9391198,1543451839.95476,1543451839.95502,1543451840.0042698,158,69674,64,2,1543451833.02389,1543451833.02391,1543451833.02404,1543451833.0271301,1543451837.8483,1543451839.93904,1543451839.9391
34,1088158.wav,12.7387237747,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451840.05729,1543451845.25881,1543451845.26039,1543451845.26055,1543451845.29039,149,55256,64,1,1543451840.0573,1543451840.0573199,1543451840.05745,1543451840.06064,1543451844.0487,1543451845.25875,1543451845.25879
35,6123996.wav,13.0102518281,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451845.3180802,1543451852.48665,1543451852.5072598,1543451852.50753,1543451852.55735,168,84076,64,2,1543451845.3180802,1543451845.31809,1543451845.3181698,1543451845.32043,1543451851.11934,1543451852.4865801,1543451852.48663
36,2956260.wav,12.1760859214,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451852.61432,1543451859.0975099,1543451859.18866,1543451859.18893,1543451859.242,158,70624,64,2,1543451852.61433,1543451852.61435,1543451852.61447,1543451852.61742,1543451857.68787,1543451859.09743,1543451859.09749
37,5160685.wav,12.543950665899999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451859.2925901,1543451864.7618,1543451864.7666302,1543451864.76689,1543451864.8162599,153,63260,64,1,1543451859.2926,1543451859.29262,1543451859.29274,1543451859.29598,1543451863.10153,1543451864.76172,1543451864.76178
38,4900630.wav,12.645002991300002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451864.86523,1543451871.404,1543451871.40945,1543451871.4097,1543451871.46156,161,84068,64,2,1543451864.86524,1543451864.86526,1543451864.86539,1543451864.86834,1543451870.34405,1543451871.40392,1543451871.40398
39,4012566.wav,12.4008300526,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451871.5186,1543451878.04481,1543451878.04833,1543451878.04857,1543451878.0999699,152,57176,64,1,1543451871.51861,1543451871.51863,1543451871.5187302,1543451871.5218801,1543451876.37485,1543451878.0447302,1543451878.04479
40,5374862.wav,13.0831002775,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451878.14703,1543451885.33404,1543451885.35679,1543451885.35705,1543451885.4075599,158,77982,64,2,1543451878.14703,1543451878.14705,1543451878.14718,1543451878.15031,1543451882.74321,1543451885.3339698,1543451885.33402
41,5165776.wav,12.001715621099999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451885.46334,1543451890.2837,1543451890.32791,1543451890.3281698,1543451890.38469,152,61660,64,1,1543451885.46335,1543451885.4633698,1543451885.46349,1543451885.46646,1543451889.1807199,1543451890.2836099,1543451890.28367
42,2236189.wav,12.6852920472,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451890.43217,1543451894.63895,1543451894.6473699,1543451894.64763,1543451894.69908,148,54592,64,1,1543451890.4321802,1543451890.43219,1543451890.4323199,1543451890.43532,1543451893.22985,1543451894.63888,1543451894.63893
43,1025262.wav,12.994829716400002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451894.74815,1543451903.8017302,1543451903.86664,1543451903.8669,1543451903.91839,159,81824,64,2,1543451894.74816,1543451894.7481802,1543451894.7483,1543451894.75136,1543451901.2425199,1543451903.80165,1543451903.80171
44,2046873.wav,13.355028951900001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451903.97646,1543451912.11945,1543451912.15888,1543451912.15914,1543451912.21081,165,93030,64,2,1543451903.97647,1543451903.97649,1543451903.97661,1543451903.97968,1543451910.18984,1543451912.11937,1543451912.11943
45,4666229.wav,11.7974960759,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451912.27305,1543451918.2018301,1543451918.2095098,1543451918.20985,1543451918.26184,154,66462,64,2,1543451912.2730598,1543451912.2730699,1543451912.2732,1543451912.27625,1543451916.97885,1543451918.20176,1543451918.20181
46,2645053.wav,12.6046125606,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451918.31301,1543451923.90324,1543451924.0350802,1543451924.0353599,1543451924.08867,151,64218,64,2,1543451918.31302,1543451918.31304,1543451918.31317,1543451918.3160698,1543451922.41013,1543451923.9031599,1543451923.90322
47,1158673.wav,13.1333879153,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451924.13904,1543451929.13097,1543451929.1493,1543451929.14956,1543451929.20439,168,75466,64,2,1543451924.13906,1543451924.13907,1543451924.1392,1543451924.1426198,1543451928.08288,1543451929.1308901,1543451929.13095
48,2026595.wav,12.8572295871,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451929.26178,1543451938.28685,1543451938.2996,1543451938.29991,1543451938.35399,168,93034,64,2,1543451929.26179,1543451929.26181,1543451929.26194,1543451929.26489,1543451936.90029,1543451938.2867699,1543451938.2868302
49,319211.wav,12.0600119482,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451938.4126198,1543451944.30227,1543451944.31008,1543451944.3102698,1543451944.34373,161,81186,63,2,1543451938.41263,1543451938.41265,1543451938.41277,1543451938.4156802,1543451942.21058,1543451944.3022199,1543451944.30226
50,5840412.wav,12.8206160165,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451944.3726301,1543451950.13837,1543451950.15306,1543451950.15334,1543451950.2068698,154,68060,64,2,1543451944.3726401,1543451944.37265,1543451944.3727698,1543451944.37479,1543451948.1233,1543451950.1382802,1543451950.13835
51,2546803.wav,11.487779527999999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451950.26056,1543451956.6752698,1543451956.71854,1543451956.7188,1543451956.77559,151,57816,64,1,1543451950.2605698,1543451950.26059,1543451950.26076,1543451950.2637599,1543451955.3283699,1543451956.67519,1543451956.67525
52,1867943.wav,11.867446099,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451956.81943,1543451963.44227,1543451963.46852,1543451963.46879,1543451963.52479,154,70644,64,2,1543451956.8194401,1543451956.81945,1543451956.81962,1543451956.82289,1543451961.9781199,1543451963.44219,1543451963.44225
53,2069337.wav,11.9459868752,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451963.5764802,1543451967.8355901,1543451967.88819,1543451967.88846,1543451967.94027,162,73184,64,2,1543451963.57649,1543451963.57651,1543451963.57669,1543451963.5799,1543451966.55833,1543451967.83551,1543451967.8355699
54,3734467.wav,12.272821835999999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451967.98961,1543451975.03723,1543451975.06061,1543451975.0608802,1543451975.11304,160,81184,64,2,1543451967.98962,1543451967.98964,1543451967.98995,1543451967.99307,1543451972.6862302,1543451975.03715,1543451975.03721
55,869564.wav,12.6458898677,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451975.16582,1543451982.5322,1543451982.54094,1543451982.5411901,1543451982.59351,153,66462,63,2,1543451975.1658301,1543451975.1658401,1543451975.1660302,1543451975.16902,1543451981.12893,1543451982.53212,1543451982.53218
56,2407942.wav,12.6616477919,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451982.64567,1543451990.19497,1543451990.2035599,1543451990.20381,1543451990.25619,151,59416,64,1,1543451982.6456802,1543451982.6457,1543451982.64587,1543451982.6487598,1543451988.92185,1543451990.19489,1543451990.19495
57,2852258.wav,12.2662024306,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451990.3062801,1543451994.83672,1543451994.8463,1543451994.84655,1543451994.90018,147,48212,64,1,1543451990.3062901,1543451990.30631,1543451990.3064802,1543451990.30945,1543451994.0641,1543451994.8366401,1543451994.8367
58,4521283.wav,12.231077680699999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451994.94462,1543451999.99689,1543452000.05879,1543452000.0590599,1543452000.11317,156,79264,64,2,1543451994.9446301,1543451994.94465,1543451994.94482,1543451994.94773,1543451998.4272401,1543451999.99681,1543451999.99687
59,2387710.wav,12.126795364300001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452000.1663198,1543452006.73208,1543452006.82255,1543452006.82281,1543452006.8772302,152,59418,64,1,1543452000.16633,1543452000.16635,1543452000.1665099,1543452000.16965,1543452005.27833,1543452006.732,1543452006.73206
60,248973.wav,12.9896193454,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452006.9241,1543452012.45925,1543452012.47042,1543452012.47068,1543452012.5225198,164,72296,63,2,1543452006.92411,1543452006.92412,1543452006.9243,1543452006.9275901,1543452010.83106,1543452012.4591599,1543452012.4592302
61,2203807.wav,11.4011594678,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452012.57849,1543452016.45793,1543452016.47543,1543452016.4756901,1543452016.52997,138,37004,64,1,1543452012.5785,1543452012.5785198,1543452012.57868,1543452012.58179,1543452015.73642,1543452016.45785,1543452016.45791
62,2641636.wav,12.4586673017,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452016.57024,1543452024.6147301,1543452024.6305,1543452024.63076,1543452024.6822,163,82470,64,2,1543452016.57025,1543452016.5702698,1543452016.57044,1543452016.57339,1543452022.55185,1543452024.61465,1543452024.6147099
63,5958362.wav,12.720504890399999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452024.7344599,1543452030.02806,1543452030.0439901,1543452030.04425,1543452030.1007,164,79272,64,2,1543452024.73447,1543452024.7344902,1543452024.73466,1543452024.73765,1543452029.0144901,1543452030.02798,1543452030.02804
64,54407.wav,13.1647542994,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452030.1575902,1543452040.8101099,1543452040.85307,1543452040.8533301,1543452040.9041,177,120322,62,3,1543452030.1576,1543452030.15762,1543452030.15779,1543452030.16092,1543452038.61375,1543452040.81003,1543452040.81009
65,295648.wav,12.8360263137,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452040.96782,1543452045.22205,1543452045.22564,1543452045.22589,1543452045.27706,150,51428,63,1,1543452040.9678302,1543452040.96784,1543452040.96801,1543452040.97128,1543452044.02701,1543452045.2219698,1543452045.22204
66,5009327.wav,12.715247706,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452045.3266,1543452052.52248,1543452052.54787,1543452052.54813,1543452052.59799,169,93992,64,2,1543452045.3266098,1543452045.32663,1543452045.3268,1543452045.32971,1543452050.67064,1543452052.5224,1543452052.52247
67,3506491.wav,11.9905945227,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452052.65539,1543452057.70222,1543452057.7211401,1543452057.7214,1543452057.77585,155,65182,64,2,1543452052.6554,1543452052.6554198,1543452052.65559,1543452052.65855,1543452056.2560198,1543452057.70214,1543452057.7022
68,3410985.wav,12.331296999200001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452057.82242,1543452064.91987,1543452064.93184,1543452064.9321,1543452064.98395,154,68062,64,2,1543452057.8224301,1543452057.82245,1543452057.82262,1543452057.8255801,1543452062.62935,1543452064.91971,1543452064.91985
69,6113236.wav,12.308890368699998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452065.03494,1543452072.9893,1543452073.01948,1543452073.0198,1543452073.07059,158,69664,64,2,1543452065.03495,1543452065.0349698,1543452065.03514,1543452065.03805,1543452071.14626,1543452072.98922,1543452072.98928
70,1552238.wav,13.405083093399998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452073.12337,1543452082.42456,1543452082.45876,1543452082.4590302,1543452082.51068,170,104236,64,3,1543452073.1233802,1543452073.1234,1543452073.12356,1543452073.12652,1543452080.1726,1543452082.42447,1543452082.42454
71,2952479.wav,12.7212876499,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452082.5747302,1543452093.28806,1543452093.30885,1543452093.30911,1543452093.36381,190,121546,64,3,1543452082.57474,1543452082.57476,1543452082.5749302,1543452082.57803,1543452090.73711,1543452093.2879698,1543452093.28804
72,1028394.wav,13.1893612076,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452093.42318,1543452098.15229,1543452098.1816,1543452098.18187,1543452098.23334,149,64216,64,2,1543452093.42319,1543452093.42321,1543452093.4233801,1543452093.42639,1543452096.8540401,1543452098.1522,1543452098.15226
73,4015339.wav,12.6179003129,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452098.28736,1543452106.96501,1543452106.9965901,1543452106.99685,1543452107.0476599,179,112886,64,3,1543452098.28737,1543452098.28738,1543452098.28755,1543452098.2908301,1543452105.36197,1543452106.96493,1543452106.9649901
74,1094256.wav,13.215837671900001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452107.10897,1543452113.65409,1543452113.6845698,1543452113.68474,1543452113.71556,156,59422,64,1,1543452107.1089802,1543452107.109,1543452107.10917,1543452107.11231,1543452111.15696,1543452113.65404,1543452113.6540802
75,2542981.wav,12.144026099000001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452113.7448401,1543452121.77191,1543452121.81155,1543452121.81181,1543452121.8640199,157,57822,64,1,1543452113.74485,1543452113.74486,1543452113.7449698,1543452113.74704,1543452120.46011,1543452121.77183,1543452121.77189
76,4014465.wav,12.380989911199999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452121.9113,1543452128.04968,1543452128.0622,1543452128.06246,1543452128.1135,163,77986,64,2,1543452121.91131,1543452121.91133,1543452121.91151,1543452121.91466,1543452126.89751,1543452128.0496,1543452128.04966
77,2451544.wav,12.4202633293,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452128.16529,1543452134.40346,1543452134.71605,1543452134.71632,1543452134.76744,157,57822,64,1,1543452128.1653,1543452128.16532,1543452128.1654902,1543452128.16841,1543452132.3878698,1543452134.4033802,1543452134.40344
78,4529929.wav,11.9932374354,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452134.81497,1543452138.7502599,1543452138.75365,1543452138.7539,1543452138.8080099,154,63262,64,1,1543452134.81498,1543452134.815,1543452134.8151698,1543452134.8187099,1543452138.03847,1543452138.75017,1543452138.75023
79,3424061.wav,12.255357558499998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452138.8554099,1543452142.9635801,1543452142.9754698,1543452142.9757302,1543452143.02508,150,54616,64,1,1543452138.8554199,1543452138.8554401,1543452138.85561,1543452138.8585598,1543452141.98145,1543452142.9635,1543452142.9635599
80,3734808.wav,12.3804486303,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452143.07042,1543452148.6621401,1543452148.6675599,1543452148.66784,1543452148.72195,150,52374,64,1,1543452143.07043,1543452143.07045,1543452143.0706198,1543452143.07366,1543452146.92981,1543452148.66206,1543452148.6621199
81,2236293.wav,12.8359516731,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452148.7678,1543452154.06506,1543452154.14762,1543452154.14788,1543452154.20347,146,49790,64,1,1543452148.7678099,1543452148.76782,1543452148.76799,1543452148.77102,1543452152.88515,1543452154.065,1543452154.06504
82,6123960.wav,12.4196831381,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452154.25121,1543452161.37323,1543452161.38043,1543452161.38059,1543452161.42874,167,69674,64,2,1543452154.25122,1543452154.25124,1543452154.25142,1543452154.2548099,1543452159.98739,1543452161.37317,1543452161.37322
83,2026603.wav,12.6526816104,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452161.48103,1543452175.85953,1543452175.9298,1543452175.93006,1543452175.98319,166,86634,64,2,1543452161.48104,1543452161.48106,1543452161.48123,1543452161.48422,1543452171.7635,1543452175.85947,1543452175.85951
84,2406137.wav,12.920959812000001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452176.0392199,1543452183.3108,1543452183.36523,1543452183.36549,1543452183.4219599,154,65818,64,2,1543452176.03923,1543452176.0392401,1543452176.0394099,1543452176.0426,1543452181.83625,1543452183.31072,1543452183.31078
85,5034350.wav,12.6171008237,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452183.47541,1543452187.83917,1543452187.84519,1543452187.84536,1543452187.8834698,152,58150,64,1,1543452183.47542,1543452183.47544,1543452183.47561,1543452183.47873,1543452186.53826,1543452187.83912,1543452187.83916
86,3513902.wav,12.2422988155,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452187.93237,1543452193.78652,1543452193.7925198,1543452193.79277,1543452193.84599,161,74468,64,2,1543452187.93238,1543452187.9324,1543452187.93257,1543452187.93555,1543452191.59183,1543452193.7864401,1543452193.7865
