audiofilename,audio_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,payloadsize,audiofilesize,audiofileobjectsize,audio_length,f_t0,f_t1,f_t2,f_t3,f_t4,f_t5,f_t6
/home/pi/Music/mountedDirectory/3205225.wav,12.6061072033,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451676.77257,1543451692.50734,1543451692.71733,1543451692.7176,1543451692.76762,191,128256,64,4,1543451676.77258,1543451676.7726,1543451676.77272,1543451676.77563,1543451688.3915,1543451692.50727,1543451692.50733
/home/pi/Music/mountedDirectory/6002391.wav,12.6488782739,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451692.82824,1543451700.85902,1543451700.87698,1543451700.87724,1543451700.93288,161,79268,64,2,1543451692.82825,1543451692.82827,1543451692.82839,1543451692.83199,1543451699.20269,1543451700.85894,1543451700.859
/home/pi/Music/mountedDirectory/3096836.wav,12.7186921142,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451700.98752,1543451705.49729,1543451705.50506,1543451705.50531,1543451705.56127,153,59418,64,1,1543451700.98753,1543451700.98755,1543451700.98767,1543451700.99077,1543451704.58761,1543451705.49721,1543451705.49727
/home/pi/Music/mountedDirectory/6124395.wav,12.4305190879,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451705.60945,1543451713.97902,1543451713.99572,1543451713.99599,1543451714.05051,169,89192,64,2,1543451705.60946,1543451705.60948,1543451705.6096,1543451705.61266,1543451712.10398,1543451713.97895,1543451713.97901
/home/pi/Music/mountedDirectory/4499176.wav,12.5145821545,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451714.10742,1543451719.80932,1543451719.81839,1543451719.81865,1543451719.87113,154,69662,64,2,1543451714.10743,1543451714.10745,1543451714.10757,1543451714.11074,1543451718.75069,1543451719.80924,1543451719.8093
/home/pi/Music/mountedDirectory/1893669.wav,12.8017866125,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451719.92316,1543451724.06337,1543451724.08077,1543451724.08103,1543451724.13446,143,40208,64,1,1543451719.92317,1543451719.92319,1543451719.92332,1543451719.92666,1543451722.76248,1543451724.06329,1543451724.06335
/home/pi/Music/mountedDirectory/5740807.wav,12.9531735951,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451724.18193,1543451729.65755,1543451729.66674,1543451729.66691,1543451729.71092,155,69662,64,2,1543451724.18194,1543451724.18196,1543451724.18209,1543451724.18502,1543451728.35272,1543451729.65749,1543451729.65753
/home/pi/Music/mountedDirectory/4728698.wav,11.7535224899,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451729.76504,1543451733.37159,1543451733.3819,1543451733.38216,1543451733.43438,149,47256,64,1,1543451729.76505,1543451729.76507,1543451729.76519,1543451729.76812,1543451732.41707,1543451733.37151,1543451733.37157
/home/pi/Music/mountedDirectory/4500921.wav,12.1500262725,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451733.47845,1543451739.87874,1543451739.88478,1543451739.88503,1543451739.9402,156,63264,64,1,1543451733.47846,1543451733.47848,1543451733.4786,1543451733.48163,1543451738.74479,1543451739.87867,1543451739.87872
/home/pi/Music/mountedDirectory/2331570.wav,12.3091322349,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451739.98593,1543451749.35365,1543451749.4597,1543451749.46004,1543451749.51393,152,67418,64,2,1543451739.98594,1543451739.98596,1543451739.98609,1543451739.98903,1543451747.24036,1543451749.3536,1543451749.35364
/home/pi/Music/mountedDirectory/2407872.wav,12.9813084397,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451749.56569,1543451756.81996,1543451756.91947,1543451756.91981,1543451756.97054,155,62620,64,1,1543451749.5657,1543451749.56572,1543451749.56585,1543451749.56919,1543451755.23305,1543451756.81988,1543451756.81994
/home/pi/Music/mountedDirectory/3434428.wav,12.9352080812,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451757.02119,1543451764.15792,1543451764.16143,1543451764.16159,1543451764.21063,167,86634,64,2,1543451757.0212,1543451757.02122,1543451757.02135,1543451757.0246,1543451763.11518,1543451764.15787,1543451764.15791
/home/pi/Music/mountedDirectory/2959391.wav,12.7466353439,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451764.26817,1543451772.06347,1543451772.08941,1543451772.08967,1543451772.14146,171,86636,64,2,1543451764.26819,1543451764.2682,1543451764.26832,1543451764.27132,1543451770.80768,1543451772.0634,1543451772.06346
/home/pi/Music/mountedDirectory/2712878.wav,12.8686355553,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451772.19671,1543451778.01602,1543451778.06688,1543451778.06714,1543451778.12016,162,81186,64,2,1543451772.19672,1543451772.19673,1543451772.19686,1543451772.19997,1543451775.91802,1543451778.01594,1543451778.016
/home/pi/Music/mountedDirectory/5499285.wav,12.9329378671,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451778.17556,1543451783.02381,1543451783.03422,1543451783.03448,1543451783.08638,152,63260,64,1,1543451778.17557,1543451778.17559,1543451778.17572,1543451778.17884,1543451781.64626,1543451783.02373,1543451783.02379
/home/pi/Music/mountedDirectory/4034845.wav,12.8382629391,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451783.13668,1543451789.85166,1543451789.87544,1543451789.8757,1543451789.92693,177,87284,64,2,1543451783.13669,1543451783.13671,1543451783.13683,1543451783.13999,1543451787.82703,1543451789.85158,1543451789.85164
/home/pi/Music/mountedDirectory/6124053.wav,12.6209958852,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451789.98786,1543451796.11999,1543451796.13809,1543451796.13835,1543451796.19007,155,71262,64,2,1543451789.98787,1543451789.98789,1543451789.98802,1543451789.99119,1543451794.80095,1543451796.11991,1543451796.11997
/home/pi/Music/mountedDirectory/1891083.wav,12.5374351708,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451796.24301,1543451802.24304,1543451802.25211,1543451802.25237,1543451802.30359,168,82476,64,2,1543451796.24302,1543451796.24303,1543451796.24316,1543451796.24609,1543451801.02348,1543451802.24296,1543451802.24302
/home/pi/Music/mountedDirectory/4014232.wav,12.7719175559,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451802.35753,1543451807.7735,1543451807.77747,1543451807.77774,1543451807.82845,164,82472,64,2,1543451802.35754,1543451802.35755,1543451802.35768,1543451802.3608,1543451806.76396,1543451807.77343,1543451807.77348
/home/pi/Music/mountedDirectory/4494129.wav,12.0132417634,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451807.88454,1543451815.43839,1543451815.46925,1543451815.46951,1543451815.52147,155,68062,64,2,1543451807.88455,1543451807.88456,1543451807.88469,1543451807.88762,1543451813.2274,1543451815.43831,1543451815.43837
/home/pi/Music/mountedDirectory/3155766.wav,12.1444406375,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451815.57372,1543451819.61922,1543451819.64083,1543451819.64109,1543451819.69614,150,56214,64,1,1543451815.57373,1543451815.57375,1543451815.57387,1543451815.57691,1543451818.66482,1543451819.61915,1543451819.61921
/home/pi/Music/mountedDirectory/1954557.wav,13.3574118113,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451819.74224,1543451832.8553,1543451832.90111,1543451832.90138,1543451832.95403,188,128254,64,4,1543451819.74225,1543451819.74227,1543451819.7424,1543451819.74542,1543451830.14721,1543451832.85522,1543451832.85528
/home/pi/Music/mountedDirectory/5053200.wav,12.3914116665,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451833.02388,1543451839.93912,1543451839.95476,1543451839.95502,1543451840.00427,158,69674,64,2,1543451833.02389,1543451833.02391,1543451833.02404,1543451833.02713,1543451837.8483,1543451839.93904,1543451839.9391
/home/pi/Music/mountedDirectory/1088158.wav,12.7387237747,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451840.05729,1543451845.25881,1543451845.26039,1543451845.26055,1543451845.29039,149,55256,64,1,1543451840.0573,1543451840.05732,1543451840.05745,1543451840.06064,1543451844.0487,1543451845.25875,1543451845.25879
/home/pi/Music/mountedDirectory/6123996.wav,13.0102518281,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451845.31808,1543451852.48665,1543451852.50726,1543451852.50753,1543451852.55735,168,84076,64,2,1543451845.31808,1543451845.31809,1543451845.31817,1543451845.32043,1543451851.11934,1543451852.48658,1543451852.48663
/home/pi/Music/mountedDirectory/2956260.wav,12.1760859214,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451852.61432,1543451859.09751,1543451859.18866,1543451859.18893,1543451859.242,158,70624,64,2,1543451852.61433,1543451852.61435,1543451852.61447,1543451852.61742,1543451857.68787,1543451859.09743,1543451859.09749
/home/pi/Music/mountedDirectory/5160685.wav,12.5439506659,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451859.29259,1543451864.7618,1543451864.76663,1543451864.76689,1543451864.81626,153,63260,64,1,1543451859.2926,1543451859.29262,1543451859.29274,1543451859.29598,1543451863.10153,1543451864.76172,1543451864.76178
/home/pi/Music/mountedDirectory/4900630.wav,12.6450029913,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451864.86523,1543451871.404,1543451871.40945,1543451871.4097,1543451871.46156,161,84068,64,2,1543451864.86524,1543451864.86526,1543451864.86539,1543451864.86834,1543451870.34405,1543451871.40392,1543451871.40398
/home/pi/Music/mountedDirectory/4012566.wav,12.4008300526,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451871.5186,1543451878.04481,1543451878.04833,1543451878.04857,1543451878.09997,152,57176,64,1,1543451871.51861,1543451871.51863,1543451871.51873,1543451871.52188,1543451876.37485,1543451878.04473,1543451878.04479
/home/pi/Music/mountedDirectory/5374862.wav,13.0831002775,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451878.14703,1543451885.33404,1543451885.35679,1543451885.35705,1543451885.40756,158,77982,64,2,1543451878.14703,1543451878.14705,1543451878.14718,1543451878.15031,1543451882.74321,1543451885.33397,1543451885.33402
/home/pi/Music/mountedDirectory/5165776.wav,12.0017156211,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451885.46334,1543451890.2837,1543451890.32791,1543451890.32817,1543451890.38469,152,61660,64,1,1543451885.46335,1543451885.46337,1543451885.46349,1543451885.46646,1543451889.18072,1543451890.28361,1543451890.28367
/home/pi/Music/mountedDirectory/2236189.wav,12.6852920472,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451890.43217,1543451894.63895,1543451894.64737,1543451894.64763,1543451894.69908,148,54592,64,1,1543451890.43218,1543451890.43219,1543451890.43232,1543451890.43532,1543451893.22985,1543451894.63888,1543451894.63893
/home/pi/Music/mountedDirectory/1025262.wav,12.9948297164,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451894.74815,1543451903.80173,1543451903.86664,1543451903.8669,1543451903.91839,159,81824,64,2,1543451894.74816,1543451894.74818,1543451894.7483,1543451894.75136,1543451901.24252,1543451903.80165,1543451903.80171
/home/pi/Music/mountedDirectory/2046873.wav,13.3550289519,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451903.97646,1543451912.11945,1543451912.15888,1543451912.15914,1543451912.21081,165,93030,64,2,1543451903.97647,1543451903.97649,1543451903.97661,1543451903.97968,1543451910.18984,1543451912.11937,1543451912.11943
/home/pi/Music/mountedDirectory/4666229.wav,11.7974960759,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451912.27305,1543451918.20183,1543451918.20951,1543451918.20985,1543451918.26184,154,66462,64,2,1543451912.27306,1543451912.27307,1543451912.2732,1543451912.27625,1543451916.97885,1543451918.20176,1543451918.20181
/home/pi/Music/mountedDirectory/2645053.wav,12.6046125606,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451918.31301,1543451923.90324,1543451924.03508,1543451924.03536,1543451924.08867,151,64218,64,2,1543451918.31302,1543451918.31304,1543451918.31317,1543451918.31607,1543451922.41013,1543451923.90316,1543451923.90322
/home/pi/Music/mountedDirectory/1158673.wav,13.1333879153,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451924.13904,1543451929.13097,1543451929.1493,1543451929.14956,1543451929.20439,168,75466,64,2,1543451924.13906,1543451924.13907,1543451924.1392,1543451924.14262,1543451928.08288,1543451929.13089,1543451929.13095
/home/pi/Music/mountedDirectory/2026595.wav,12.8572295871,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451929.26178,1543451938.28685,1543451938.2996,1543451938.29991,1543451938.35399,168,93034,64,2,1543451929.26179,1543451929.26181,1543451929.26194,1543451929.26489,1543451936.90029,1543451938.28677,1543451938.28683
/home/pi/Music/mountedDirectory/319211.wav,12.0600119482,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451938.41262,1543451944.30227,1543451944.31008,1543451944.31027,1543451944.34373,161,81186,63,2,1543451938.41263,1543451938.41265,1543451938.41277,1543451938.41568,1543451942.21058,1543451944.30222,1543451944.30226
/home/pi/Music/mountedDirectory/5840412.wav,12.8206160165,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451944.37263,1543451950.13837,1543451950.15306,1543451950.15334,1543451950.20687,154,68060,64,2,1543451944.37264,1543451944.37265,1543451944.37277,1543451944.37479,1543451948.1233,1543451950.13828,1543451950.13835
/home/pi/Music/mountedDirectory/2546803.wav,11.487779528,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451950.26056,1543451956.67527,1543451956.71854,1543451956.7188,1543451956.77559,151,57816,64,1,1543451950.26057,1543451950.26059,1543451950.26076,1543451950.26376,1543451955.32837,1543451956.67519,1543451956.67525
/home/pi/Music/mountedDirectory/1867943.wav,11.867446099,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451956.81943,1543451963.44227,1543451963.46852,1543451963.46879,1543451963.52479,154,70644,64,2,1543451956.81944,1543451956.81945,1543451956.81962,1543451956.82289,1543451961.97812,1543451963.44219,1543451963.44225
/home/pi/Music/mountedDirectory/2069337.wav,11.9459868752,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451963.57648,1543451967.83559,1543451967.88819,1543451967.88846,1543451967.94027,162,73184,64,2,1543451963.57649,1543451963.57651,1543451963.57669,1543451963.5799,1543451966.55833,1543451967.83551,1543451967.83557
/home/pi/Music/mountedDirectory/3734467.wav,12.272821836,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451967.98961,1543451975.03723,1543451975.06061,1543451975.06088,1543451975.11304,160,81184,64,2,1543451967.98962,1543451967.98964,1543451967.98995,1543451967.99307,1543451972.68623,1543451975.03715,1543451975.03721
/home/pi/Music/mountedDirectory/869564.wav,12.6458898677,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451975.16582,1543451982.5322,1543451982.54094,1543451982.54119,1543451982.59351,153,66462,63,2,1543451975.16583,1543451975.16584,1543451975.16603,1543451975.16902,1543451981.12893,1543451982.53212,1543451982.53218
/home/pi/Music/mountedDirectory/2407942.wav,12.6616477919,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451982.64567,1543451990.19497,1543451990.20356,1543451990.20381,1543451990.25619,151,59416,64,1,1543451982.64568,1543451982.6457,1543451982.64587,1543451982.64876,1543451988.92185,1543451990.19489,1543451990.19495
/home/pi/Music/mountedDirectory/2852258.wav,12.2662024306,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451990.30628,1543451994.83672,1543451994.8463,1543451994.84655,1543451994.90018,147,48212,64,1,1543451990.30629,1543451990.30631,1543451990.30648,1543451990.30945,1543451994.0641,1543451994.83664,1543451994.8367
/home/pi/Music/mountedDirectory/4521283.wav,12.2310776807,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451994.94462,1543451999.99689,1543452000.05879,1543452000.05906,1543452000.11317,156,79264,64,2,1543451994.94463,1543451994.94465,1543451994.94482,1543451994.94773,1543451998.42724,1543451999.99681,1543451999.99687
/home/pi/Music/mountedDirectory/2387710.wav,12.1267953643,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452000.16632,1543452006.73208,1543452006.82255,1543452006.82281,1543452006.87723,152,59418,64,1,1543452000.16633,1543452000.16635,1543452000.16651,1543452000.16965,1543452005.27833,1543452006.732,1543452006.73206
/home/pi/Music/mountedDirectory/248973.wav,12.9896193454,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452006.9241,1543452012.45925,1543452012.47042,1543452012.47068,1543452012.52252,164,72296,63,2,1543452006.92411,1543452006.92412,1543452006.9243,1543452006.92759,1543452010.83106,1543452012.45916,1543452012.45923
/home/pi/Music/mountedDirectory/2203807.wav,11.4011594678,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452012.57849,1543452016.45793,1543452016.47543,1543452016.47569,1543452016.52997,138,37004,64,1,1543452012.5785,1543452012.57852,1543452012.57868,1543452012.58179,1543452015.73642,1543452016.45785,1543452016.45791
/home/pi/Music/mountedDirectory/2641636.wav,12.4586673017,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452016.57024,1543452024.61473,1543452024.6305,1543452024.63076,1543452024.6822,163,82470,64,2,1543452016.57025,1543452016.57027,1543452016.57044,1543452016.57339,1543452022.55185,1543452024.61465,1543452024.61471
/home/pi/Music/mountedDirectory/5958362.wav,12.7205048904,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452024.73446,1543452030.02806,1543452030.04399,1543452030.04425,1543452030.1007,164,79272,64,2,1543452024.73447,1543452024.73449,1543452024.73466,1543452024.73765,1543452029.01449,1543452030.02798,1543452030.02804
/home/pi/Music/mountedDirectory/54407.wav,13.1647542994,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452030.15759,1543452040.81011,1543452040.85307,1543452040.85333,1543452040.9041,177,120322,62,3,1543452030.1576,1543452030.15762,1543452030.15779,1543452030.16092,1543452038.61375,1543452040.81003,1543452040.81009
/home/pi/Music/mountedDirectory/295648.wav,12.8360263137,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452040.96782,1543452045.22205,1543452045.22564,1543452045.22589,1543452045.27706,150,51428,63,1,1543452040.96783,1543452040.96784,1543452040.96801,1543452040.97128,1543452044.02701,1543452045.22197,1543452045.22204
/home/pi/Music/mountedDirectory/5009327.wav,12.715247706,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452045.3266,1543452052.52248,1543452052.54787,1543452052.54813,1543452052.59799,169,93992,64,2,1543452045.32661,1543452045.32663,1543452045.3268,1543452045.32971,1543452050.67064,1543452052.5224,1543452052.52247
/home/pi/Music/mountedDirectory/3506491.wav,11.9905945227,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452052.65539,1543452057.70222,1543452057.72114,1543452057.7214,1543452057.77585,155,65182,64,2,1543452052.6554,1543452052.65542,1543452052.65559,1543452052.65855,1543452056.25602,1543452057.70214,1543452057.7022
/home/pi/Music/mountedDirectory/3410985.wav,12.3312969992,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452057.82242,1543452064.91987,1543452064.93184,1543452064.9321,1543452064.98395,154,68062,64,2,1543452057.82243,1543452057.82245,1543452057.82262,1543452057.82558,1543452062.62935,1543452064.91971,1543452064.91985
/home/pi/Music/mountedDirectory/6113236.wav,12.3088903687,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452065.03494,1543452072.9893,1543452073.01948,1543452073.0198,1543452073.07059,158,69664,64,2,1543452065.03495,1543452065.03497,1543452065.03514,1543452065.03805,1543452071.14626,1543452072.98922,1543452072.98928
/home/pi/Music/mountedDirectory/1552238.wav,13.4050830934,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452073.12337,1543452082.42456,1543452082.45876,1543452082.45903,1543452082.51068,170,104236,64,3,1543452073.12338,1543452073.1234,1543452073.12356,1543452073.12652,1543452080.1726,1543452082.42447,1543452082.42454
/home/pi/Music/mountedDirectory/2952479.wav,12.7212876499,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452082.57473,1543452093.28806,1543452093.30885,1543452093.30911,1543452093.36381,190,121546,64,3,1543452082.57474,1543452082.57476,1543452082.57493,1543452082.57803,1543452090.73711,1543452093.28797,1543452093.28804
/home/pi/Music/mountedDirectory/1028394.wav,13.1893612076,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452093.42318,1543452098.15229,1543452098.1816,1543452098.18187,1543452098.23334,149,64216,64,2,1543452093.42319,1543452093.42321,1543452093.42338,1543452093.42639,1543452096.85404,1543452098.1522,1543452098.15226
/home/pi/Music/mountedDirectory/4015339.wav,12.6179003129,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452098.28736,1543452106.96501,1543452106.99659,1543452106.99685,1543452107.04766,179,112886,64,3,1543452098.28737,1543452098.28738,1543452098.28755,1543452098.29083,1543452105.36197,1543452106.96493,1543452106.96499
/home/pi/Music/mountedDirectory/1094256.wav,13.2158376719,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452107.10897,1543452113.65409,1543452113.68457,1543452113.68474,1543452113.71556,156,59422,64,1,1543452107.10898,1543452107.109,1543452107.10917,1543452107.11231,1543452111.15696,1543452113.65404,1543452113.65408
/home/pi/Music/mountedDirectory/2542981.wav,12.144026099,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452113.74484,1543452121.77191,1543452121.81155,1543452121.81181,1543452121.86402,157,57822,64,1,1543452113.74485,1543452113.74486,1543452113.74497,1543452113.74704,1543452120.46011,1543452121.77183,1543452121.77189
/home/pi/Music/mountedDirectory/4014465.wav,12.3809899112,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452121.9113,1543452128.04968,1543452128.0622,1543452128.06246,1543452128.1135,163,77986,64,2,1543452121.91131,1543452121.91133,1543452121.91151,1543452121.91466,1543452126.89751,1543452128.0496,1543452128.04966
/home/pi/Music/mountedDirectory/2451544.wav,12.4202633293,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452128.16529,1543452134.40346,1543452134.71605,1543452134.71632,1543452134.76744,157,57822,64,1,1543452128.1653,1543452128.16532,1543452128.16549,1543452128.16841,1543452132.38787,1543452134.40338,1543452134.40344
/home/pi/Music/mountedDirectory/4529929.wav,11.9932374354,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452134.81497,1543452138.75026,1543452138.75365,1543452138.7539,1543452138.80801,154,63262,64,1,1543452134.81498,1543452134.815,1543452134.81517,1543452134.81871,1543452138.03847,1543452138.75017,1543452138.75023
/home/pi/Music/mountedDirectory/3424061.wav,12.2553575585,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452138.85541,1543452142.96358,1543452142.97547,1543452142.97573,1543452143.02508,150,54616,64,1,1543452138.85542,1543452138.85544,1543452138.85561,1543452138.85856,1543452141.98145,1543452142.9635,1543452142.96356
/home/pi/Music/mountedDirectory/3734808.wav,12.3804486303,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452143.07042,1543452148.66214,1543452148.66756,1543452148.66784,1543452148.72195,150,52374,64,1,1543452143.07043,1543452143.07045,1543452143.07062,1543452143.07366,1543452146.92981,1543452148.66206,1543452148.66212
/home/pi/Music/mountedDirectory/2236293.wav,12.8359516731,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543452148.7678,1543452154.06506,1543452154.14762,1543452154.14788,1543452154.20347,146,49790,64,1,1543452148.76781,1543452148.76782,1543452148.76799,1543452148.77102,1543452152.88515,1543452154.065,1543452154.06504
