,filename,flight_time,iothub_time,end_to_end_time,messagesendutctime,iothubutctime,s3creationutctime,audiotranslation
16,1024592.wav,22.903,691.0,713.9029999999999,2018-12-27 04:12:22.286097,2018-12-27 04:12:22.309000,2018-12-27 04:12:23.000000,calm left the door open
17,1024632.wav,22.034000000000002,567.0,589.034,2018-12-27 01:04:07.410966,2018-12-27 01:04:07.433000,2018-12-27 01:04:08.000000,tom not on the door
18,1024730.wav,21.482999999999997,1130.0,1151.483,2018-12-27 00:35:35.848517,2018-12-27 00:35:35.870000,2018-12-27 00:35:37.000000,tom isn't able to drive yet
19,1024742.wav,37.54,722.0,759.54,2018-12-27 05:20:43.240460,2018-12-27 05:20:43.278000,2018-12-27 05:20:44.000000,tom is working on another novel
20,1024772.wav,33.422,443.0,476.422,2018-12-27 03:13:24.523578,2018-12-27 03:13:24.557000,2018-12-27 03:13:25.000000,tom is very glad that school is over
21,1024773.wav,22.074,968.0,990.074,2018-12-26 23:53:44.009926,2018-12-26 23:53:44.032000,2018-12-26 23:53:45.000000,tom is very festive out what he eats
22,1024814.wav,21.338,202.0,223.33800000000002,2018-12-27 05:38:43.776662,2018-12-27 05:38:43.798000,2018-12-27 05:38:44.000000,tom is the youngest child and his family
23,1024828.wav,19.464,871.0,890.464,2018-12-26 23:06:46.109536,2018-12-26 23:06:46.129000,2018-12-26 23:06:47.000000,tom is the one who usually ends up feeding our dog
24,1024963.wav,21.557,1025.0,1046.557,2018-12-26 23:38:10.953443,2018-12-26 23:38:10.975000,2018-12-26 23:38:12.000000,tom is looking for his glasses
25,1025045.wav,35.997,790.0,825.997,2018-12-27 00:15:49.174003,2018-12-27 00:15:49.210000,2018-12-27 00:15:50.000000,tom is extremely busy now
26,1025169.wav,21.794,236.0,257.79400000000004,2018-12-27 03:58:22.742206,2018-12-27 03:58:22.764000,2018-12-27 03:58:23.000000,tom is a house husband
27,1025200.wav,22.316,427.0,449.316,2018-12-27 04:38:14.550684,2018-12-27 04:38:14.573000,2018-12-27 04:38:15.000000,tom is a big eater
28,1025262.wav,18.941,454.0,472.941,2018-12-26 23:36:53.527059,2018-12-26 23:36:53.546000,2018-12-26 23:36:54.000000,tom has to take the test again
29,1025318.wav,20.516,447.0,467.51599999999996,2018-12-27 00:53:58.532484,2018-12-27 00:53:58.553000,2018-12-27 00:53:59.000000,tom has poor eyesight
30,1025358.wav,24.307,446.0,470.30699999999996,2018-12-26 23:35:56.529693,2018-12-26 23:35:56.554000,2018-12-26 23:35:57.000000,khan has low blood pressure
31,1025371.wav,31.053,990.0,1021.053,2018-12-27 03:18:14.978947,2018-12-27 03:18:15.010000,2018-12-27 03:18:16.000000,tom has just finished washing dishes
32,1025417.wav,24.082,831.0,855.082,2018-12-27 04:50:13.144918,2018-12-27 04:50:13.169000,2018-12-27 04:50:14.000000,calm has been studying french for the last three years
33,1025449.wav,23.262,530.0,553.2620000000001,2018-12-27 01:54:10.446738,2018-12-27 01:54:10.470000,2018-12-27 01:54:11.000000,tom has a very decent salary
34,1025526.wav,34.564,854.0,888.564,2018-12-26 22:15:04.111436,2018-12-26 22:15:04.146000,2018-12-26 22:15:05.000000,tom had seen since breakfast and was getting hungry
35,1025534.wav,20.198,986.0,1006.198,2018-12-26 22:37:09.993802,2018-12-26 22:37:10.014000,2018-12-26 22:37:11.000000,tom had to make the difficult decisions
36,1025580.wav,26.249000000000002,562.0,588.249,2018-12-26 23:02:24.411751,2018-12-26 23:02:24.438000,2018-12-26 23:02:25.000000,tom had his wallet stolen on the train
37,1025664.wav,22.244,64.0,86.244,2018-12-27 01:58:24.913756,2018-12-27 01:58:24.936000,2018-12-27 01:58:25.000000,tom got angry when he found the door locked
38,1025744.wav,22.677,669.0,691.677,2018-12-27 02:21:24.308323,2018-12-27 02:21:24.331000,2018-12-27 02:21:25.000000,tom flirted with the waitress
39,1025756.wav,26.523,273.0,299.52299999999997,2018-12-27 04:05:34.700477,2018-12-27 04:05:34.727000,2018-12-27 04:05:35.000000,calm finally got a hold of the rare stamp he wanted
40,1025776.wav,22.076999999999998,715.0,737.077,2018-12-27 03:07:05.262923,2018-12-27 03:07:05.285000,2018-12-27 03:07:06.000000,tom felton cold rain on his face
41,1025802.wav,23.281,938.0,961.2810000000001,2018-12-27 04:26:59.038719,2018-12-27 04:26:59.062000,2018-12-27 04:27:00.000000,calm felt a pain in his back
42,1025816.wav,27.352,748.0,775.3520000000001,2018-12-27 05:54:42.224648,2018-12-27 05:54:42.252000,2018-12-27 05:54:43.000000,tom fell and broke his arm
43,1025854.wav,27.39,427.0,454.39000000000004,2018-12-27 01:26:19.545610,2018-12-27 01:26:19.573000,2018-12-27 01:26:20.000000,khan eats like a bird
44,1025879.wav,22.395000000000003,881.0,903.395,2018-12-27 00:46:18.096605,2018-12-27 00:46:18.119000,2018-12-27 00:46:19.000000,conference at least three liters of water every day
45,1025917.wav,21.779,492.0,513.779,2018-12-27 06:58:17.486221,2018-12-27 06:58:17.508000,2018-12-27 06:58:18.000000,tom doesn't want to go anywhere in particular
46,1025955.wav,23.945,202.0,225.945,2018-12-27 00:12:11.774055,2018-12-27 00:12:11.798000,2018-12-27 00:12:12.000000,tom doesn't speak french at home
47,1025970.wav,23.427,219.0,242.427,2018-12-27 00:03:51.757573,2018-12-27 00:03:51.781000,2018-12-27 00:03:52.000000,tom doesn't remember having said that
48,1025987.wav,32.357,263.0,295.35699999999997,2018-12-27 02:44:52.704643,2018-12-27 02:44:52.737000,2018-12-27 02:44:53.000000,tom doesn't need to go to work today
49,1026101.wav,24.513,886.0,910.513,2018-12-26 23:42:04.089487,2018-12-26 23:42:04.114000,2018-12-26 23:42:05.000000,tom doesn't know if it is true or not
50,1026186.wav,23.442999999999998,915.0,938.443,2018-12-27 04:14:09.061557,2018-12-27 04:14:09.085000,2018-12-27 04:14:10.000000,time doesn't fill up to reading anything today
51,1026189.wav,29.756,610.0,639.756,2018-12-27 06:38:34.360244,2018-12-27 06:38:34.390000,2018-12-27 06:38:35.000000,tom doesn't feel like taking a walk with his dog this morning
52,1026205.wav,21.875,602.0,623.875,2018-12-26 22:06:49.376125,2018-12-26 22:06:49.398000,2018-12-26 22:06:50.000000,tom doesn't carry much luggage on trips
53,1026244.wav,20.564,859.0,879.564,2018-12-27 05:34:39.120436,2018-12-27 05:34:39.141000,2018-12-27 05:34:40.000000,tom died three days after he arrived in boston
54,1026423.wav,21.435,282.0,303.435,2018-12-27 00:40:40.696565,2018-12-27 00:40:40.718000,2018-12-27 00:40:41.000000,tom didn't even try to help
55,1026425.wav,20.163,546.0,566.163,2018-12-27 00:34:37.433837,2018-12-27 00:34:37.454000,2018-12-27 00:34:38.000000,khan didn't even try to do the right thing
56,1026468.wav,22.552,523.0,545.552,2018-12-27 03:39:35.454448,2018-12-27 03:39:35.477000,2018-12-27 03:39:36.000000,condit it very carefully
57,1026522.wav,25.612,899.0,924.612,2018-12-26 23:21:10.075388,2018-12-26 23:21:10.101000,2018-12-26 23:21:11.000000,khan decided to go to boston
58,1026682.wav,26.814,981.0,1007.814,2018-12-27 07:09:23.992186,2018-12-27 07:09:24.019000,2018-12-27 07:09:25.000000,tom clear the table
59,1026744.wav,20.638,441.0,461.638,2018-12-27 05:47:58.538362,2018-12-27 05:47:58.559000,2018-12-27 05:47:59.000000,tom can't seem to do anything right
60,1026819.wav,25.590999999999998,618.0,643.591,2018-12-27 04:13:52.356409,2018-12-27 04:13:52.382000,2018-12-27 04:13:53.000000,tom can't afford to travel by plane
61,1026825.wav,23.434,240.0,263.434,2018-12-27 06:57:46.736566,2018-12-27 06:57:46.760000,2018-12-27 06:57:47.000000,tom can't afford to buy a house
62,1026922.wav,21.652,935.0,956.6519999999999,2018-12-27 06:23:56.043348,2018-12-27 06:23:56.065000,2018-12-27 06:23:57.000000,tom call to say that he couldn't attend today's meeting
63,1026927.wav,21.454,499.0,520.454,2018-12-26 23:31:35.479546,2018-12-26 23:31:35.501000,2018-12-26 23:31:36.000000,tom called me by name
64,1026930.wav,36.873999999999995,461.0,497.87399999999997,2018-12-27 01:39:30.502126,2018-12-27 01:39:30.539000,2018-12-27 01:39:31.000000,call call the taxi for me
65,1027033.wav,22.052,510.0,532.052,2018-12-26 22:57:21.467948,2018-12-26 22:57:21.490000,2018-12-26 22:57:22.000000,tom became an engineer
66,1027051.wav,21.745,243.0,264.745,2018-12-27 06:07:06.735255,2018-12-27 06:07:06.757000,2018-12-27 06:07:07.000000,comment three eggs on a slice of toast
67,1027115.wav,21.875,483.0,504.87499999999994,2018-12-27 04:07:09.495125,2018-12-27 04:07:09.517000,2018-12-27 04:07:10.000000,tom appears to be essentially guy
68,1027164.wav,24.99,921.0,945.99,2018-12-27 06:01:50.054010,2018-12-27 06:01:50.079000,2018-12-27 06:01:51.000000,tom always makes it a rule never to ask a woman her age
69,1027184.wav,30.051000000000002,402.0,432.05100000000004,2018-12-26 23:42:32.567949,2018-12-26 23:42:32.598000,2018-12-26 23:42:33.000000,tom always those things the same old way
70,1027245.wav,26.141000000000002,964.0,990.1410000000001,2018-12-27 04:59:37.009859,2018-12-27 04:59:37.036000,2018-12-27 04:59:38.000000,tom abuses his authorities so no one likes
71,1027249.wav,20.82,304.0,324.82,2018-12-27 07:06:58.675180,2018-12-27 07:06:58.696000,2018-12-27 07:06:59.000000,tom abandoned the project because he didn't have enough money
72,1027312.wav,22.517,716.0,738.5169999999999,2018-12-27 04:14:16.261483,2018-12-27 04:14:16.284000,2018-12-27 04:14:17.000000,the police found tom's bicycle
73,1027351.wav,24.13,935.0,959.13,2018-12-27 03:48:24.040870,2018-12-27 03:48:24.065000,2018-12-27 03:48:25.000000,part of what tom said was true
74,1027433.wav,39.303,299.0,338.303,2018-12-27 01:56:27.661697,2018-12-27 01:56:27.701000,2018-12-27 01:56:28.000000,i figured out why tom is always late
75,1027526.wav,34.791000000000004,642.0,676.791,2018-12-27 00:04:51.323209,2018-12-27 00:04:51.358000,2018-12-27 00:04:52.000000,i saw com wiping his fingerprints off the door knob
76,1027738.wav,28.499,1010.0,1038.499,2018-12-26 23:22:44.961501,2018-12-26 23:22:44.990000,2018-12-26 23:22:46.000000,tom went there to meet married
77,1027757.wav,21.365,691.0,712.365,2018-12-27 04:26:42.287635,2018-12-27 04:26:42.309000,2018-12-27 04:26:43.000000,tom was surprised that mary showdown
78,1027908.wav,26.018,557.0,583.018,2018-12-27 02:01:09.416982,2018-12-27 02:01:09.443000,2018-12-27 02:01:10.000000,tom told mary that he'd be free tomorrow
79,1027990.wav,20.750999999999998,619.0,639.751,2018-12-26 23:03:54.360249,2018-12-26 23:03:54.381000,2018-12-26 23:03:55.000000,com's goal mary's computer
80,1028142.wav,29.933,318.0,347.933,2018-12-26 23:10:06.652067,2018-12-26 23:10:06.682000,2018-12-26 23:10:07.000000,tom regrets telling mary his telephone number
81,1028213.wav,25.224,861.0,886.224,2018-12-27 03:48:05.113776,2018-12-27 03:48:05.139000,2018-12-27 03:48:06.000000,tom plans to go skiing with mary
82,1028256.wav,23.134999999999998,778.0,801.135,2018-12-27 04:32:54.198865,2018-12-27 04:32:54.222000,2018-12-27 04:32:55.000000,tom often goes for walks with mary
83,1028281.wav,23.956000000000003,880.0,903.956,2018-12-27 06:38:12.096044,2018-12-27 06:38:12.120000,2018-12-27 06:38:13.000000,khan needs to talk to marry
84,1028305.wav,19.980999999999998,382.0,401.981,2018-12-27 04:33:07.598019,2018-12-27 04:33:07.618000,2018-12-27 04:33:08.000000,khan managed to make time to visit marry when he was in boston
85,1028325.wav,24.366,105.0,129.366,2018-12-26 22:28:34.870634,2018-12-26 22:28:34.895000,2018-12-26 22:28:35.000000,thomas mary sense of humor
86,1028365.wav,26.863000000000003,418.0,444.863,2018-12-27 04:25:47.555137,2018-12-27 04:25:47.582000,2018-12-27 04:25:48.000000,tom let go of mary's hand
87,1028394.wav,23.078999999999997,186.0,209.07899999999998,2018-12-26 22:41:56.790921,2018-12-26 22:41:56.814000,2018-12-26 22:41:57.000000,tom know some areas
88,1028417.wav,20.695999999999998,466.0,486.696,2018-12-27 06:03:23.513304,2018-12-27 06:03:23.534000,2018-12-27 06:03:24.000000,tom knows better than to argue with mary
89,1028681.wav,25.481,243.0,268.48100000000005,2018-12-27 02:05:34.731519,2018-12-27 02:05:34.757000,2018-12-27 02:05:35.000000,tom heard merry go upstairs
90,1028791.wav,26.898,965.0,991.8979999999999,2018-12-27 02:44:31.008102,2018-12-27 02:44:31.035000,2018-12-27 02:44:32.000000,tom had to cover for mary
91,1028875.wav,25.365,545.0,570.365,2018-12-27 05:53:47.429635,2018-12-27 05:53:47.455000,2018-12-27 05:53:48.000000,calm gays marry some good advice about how to write songs
92,1028933.wav,20.820999999999998,882.0,902.821,2018-12-27 05:01:24.097179,2018-12-27 05:01:24.118000,2018-12-27 05:01:25.000000,conversely i'd marry in boston
93,1029126.wav,24.929,183.0,207.929,2018-12-27 03:16:06.792071,2018-12-27 03:16:06.817000,2018-12-27 03:16:07.000000,tom doesn't know what to do without mary
94,1029249.wav,25.263,840.0,865.263,2018-12-27 00:21:57.134737,2018-12-27 00:21:57.160000,2018-12-27 00:21:58.000000,tom didn't understand the joke very cold
95,1029261.wav,55.64,822.0,877.64,2018-12-27 01:36:46.122360,2018-12-27 01:36:46.178000,2018-12-27 01:36:47.000000,tom didn't take very satan to consideration
96,1029294.wav,21.555,287.0,308.555,2018-12-27 02:48:55.691445,2018-12-27 02:48:55.713000,2018-12-27 02:48:56.000000,khan didn't know when mary was planning to go to boston
97,1029329.wav,17.706,1008.9999999999999,1026.706,2018-12-27 03:35:19.973294,2018-12-27 03:35:19.991000,2018-12-27 03:35:21.000000,tom didn't expect that mary without smart him
98,1029373.wav,25.197,786.0,811.1969999999999,2018-12-27 04:09:10.188803,2018-12-27 04:09:10.214000,2018-12-27 04:09:11.000000,tom criticize marry for not doing their job correctly
99,1029455.wav,20.901,941.0,961.901,2018-12-27 00:43:11.038099,2018-12-27 00:43:11.059000,2018-12-27 00:43:12.000000,calm concealed his anger from mary
100,1029462.wav,24.728,988.0,1012.7280000000001,2018-12-27 01:50:16.987272,2018-12-27 01:50:17.012000,2018-12-27 01:50:18.000000,khan changed his mind about going out with mary and stay home
101,1029621.wav,22.692,995.0,1017.692,2018-12-27 03:42:18.982308,2018-12-27 03:42:19.005000,2018-12-27 03:42:20.000000,comments to marry who had given her the picture
102,1029633.wav,36.537,525.0,561.5369999999999,2018-12-27 05:49:47.438463,2018-12-27 05:49:47.475000,2018-12-27 05:49:48.000000,tom asked to marry where she usually went shopping
103,1029712.wav,33.966,442.0,475.966,2018-12-27 04:16:09.524034,2018-12-27 04:16:09.558000,2018-12-27 04:16:10.000000,tom asked mary is she wanted to write his horse
104,1029937.wav,22.995,225.0,247.995,2018-12-27 06:48:05.752005,2018-12-27 06:48:05.775000,2018-12-27 06:48:06.000000,common area are both still single
105,1030175.wav,22.554000000000002,476.0,498.554,2018-12-27 04:55:04.501446,2018-12-27 04:55:04.524000,2018-12-27 04:55:05.000000,connors married to tell jon the truth
106,1039535.wav,24.801,705.0,729.801,2018-12-27 00:35:46.270199,2018-12-27 00:35:46.295000,2018-12-27 00:35:47.000000,let's go to a concert together
107,1040552.wav,28.012,93.0,121.012,2018-12-27 03:00:51.878988,2018-12-27 03:00:51.907000,2018-12-27 03:00:52.000000,tom started a fight with mary
108,1040577.wav,22.154,761.0,783.154,2018-12-27 06:47:06.216846,2018-12-27 06:47:06.239000,2018-12-27 06:47:07.000000,tom open the door before mary had a chance to knock
109,1040591.wav,24.744,533.0,557.744,2018-12-27 02:50:00.442256,2018-12-27 02:50:00.467000,2018-12-27 02:50:01.000000,time is good at finding good bargains
110,1040650.wav,116.576,998.0,1114.576,2018-12-27 03:16:37.885424,2018-12-27 03:16:38.002000,2018-12-27 03:16:39.000000,tom drives mary out the wall
111,1044924.wav,23.945,158.0,181.945,2018-12-26 23:21:36.818055,2018-12-26 23:21:36.842000,2018-12-26 23:21:37.000000,why did you decide to buy this house
112,1046157.wav,24.505,458.0,482.505,2018-12-27 04:32:37.517495,2018-12-27 04:32:37.542000,2018-12-27 04:32:38.000000,i think my german is really bad
113,1058976.wav,23.282,416.0,439.282,2018-12-27 02:53:53.560718,2018-12-27 02:53:53.584000,2018-12-27 02:53:54.000000,revolutions that don't succeed arsenal forgotten
114,1062298.wav,24.028000000000002,997.0,1021.028,2018-12-27 00:48:03.978972,2018-12-27 00:48:04.003000,2018-12-27 00:48:05.000000,i think i am overworked
115,1062745.wav,22.218999999999998,953.0,975.2189999999999,2018-12-27 03:38:39.024781,2018-12-27 03:38:39.047000,2018-12-27 03:38:40.000000,i want you to saying
116,1065023.wav,22.642,598.0,620.642,2018-12-27 04:28:13.379358,2018-12-27 04:28:13.402000,2018-12-27 04:28:14.000000,where is the closest bus stop
117,1071653.wav,22.041,824.0,846.041,2018-12-27 03:52:32.153959,2018-12-27 03:52:32.176000,2018-12-27 03:52:33.000000,teachers who've before it gets cold
118,1077629.wav,20.112000000000002,869.0,889.112,2018-12-27 05:44:47.110888,2018-12-27 05:44:47.131000,2018-12-27 05:44:48.000000,i don't have anything to say
119,1079124.wav,24.432,559.0,583.4319999999999,2018-12-26 22:23:17.416568,2018-12-26 22:23:17.441000,2018-12-26 22:23:18.000000,i have a very good time tonight
120,1086213.wav,19.849,1024.0,1043.849,2018-12-26 23:44:23.956151,2018-12-26 23:44:23.976000,2018-12-26 23:44:25.000000,what's the time now
121,1088158.wav,23.732,896.0,919.732,2018-12-27 00:26:45.080268,2018-12-27 00:26:45.104000,2018-12-27 00:26:46.000000,is anyone else going
122,1088551.wav,22.488,623.0,645.4879999999999,2018-12-27 04:28:07.354512,2018-12-27 04:28:07.377000,2018-12-27 04:28:08.000000,both of my parents are dead
123,1092109.wav,26.451,659.0,685.451,2018-12-27 00:06:38.314549,2018-12-27 00:06:38.341000,2018-12-27 00:06:39.000000,why does time i'm always look so tired
124,1092402.wav,24.590999999999998,811.0,835.591,2018-12-26 23:38:59.164409,2018-12-26 23:38:59.189000,2018-12-26 23:39:00.000000,tom was in no mood to talk to marry
125,1092465.wav,23.423,463.0,486.423,2018-12-27 02:19:06.513577,2018-12-27 02:19:06.537000,2018-12-27 02:19:07.000000,tom wants to borrow some money
126,1092476.wav,22.846999999999998,547.0,569.847,2018-12-26 22:52:37.430153,2018-12-26 22:52:37.453000,2018-12-26 22:52:38.000000,tom wants a bigger discount
127,1092546.wav,28.753,995.0,1023.7529999999999,2018-12-27 05:08:04.976247,2018-12-27 05:08:05.005000,2018-12-27 05:08:06.000000,tom want to marry to stay with him forever
128,1092621.wav,68.43299999999999,436.0,504.433,2018-12-27 00:08:49.495567,2018-12-27 00:08:49.564000,2018-12-27 00:08:50.000000,tom try to remember the last time he had visited an art museum
129,1092686.wav,24.532,419.0,443.532,2018-12-27 04:58:35.556468,2018-12-27 04:58:35.581000,2018-12-27 04:58:36.000000,tom told me that he doesn't have a problem with that
130,1092754.wav,20.763,590.0,610.7629999999999,2018-12-27 07:13:24.389237,2018-12-27 07:13:24.410000,2018-12-27 07:13:25.000000,tom thought that mary didn't like computer games
131,1092786.wav,30.754,392.0,422.754,2018-12-27 00:58:33.577246,2018-12-27 00:58:33.608000,2018-12-27 00:58:34.000000,tom five years of voices in the next room
132,1092831.wav,23.136,1038.0,1061.136,2018-12-27 00:07:21.938864,2018-12-27 00:07:21.962000,2018-12-27 00:07:23.000000,tom thinks about mary all the time
133,1092841.wav,22.204,534.0,556.2040000000001,2018-12-27 05:19:58.443796,2018-12-27 05:19:58.466000,2018-12-27 05:19:59.000000,tom got married into going out for coffee
134,1092906.wav,21.337,992.0,1013.337,2018-12-27 05:41:07.986663,2018-12-27 05:41:08.008000,2018-12-27 05:41:09.000000,tom slit his wrists
135,1092911.wav,26.842000000000002,61.0,87.842,2018-12-26 23:51:47.912158,2018-12-26 23:51:47.939000,2018-12-26 23:51:48.000000,tom's get dinners saying he was too tired to eat
136,1092929.wav,23.812,416.0,439.81199999999995,2018-12-27 04:11:54.560188,2018-12-27 04:11:54.584000,2018-12-27 04:11:55.000000,tom should have known better
137,1092930.wav,25.475,114.0,139.475,2018-12-27 06:18:53.860525,2018-12-27 06:18:53.886000,2018-12-27 06:18:54.000000,tom should have handled the situation differently
138,1093024.wav,22.633,1070.0,1092.633,2018-12-27 02:03:01.907367,2018-12-27 02:03:01.930000,2018-12-27 02:03:03.000000,com's cause snakes live there across the path
139,1093043.wav,24.474,939.0,963.474,2018-12-27 06:07:40.036526,2018-12-27 06:07:40.061000,2018-12-27 06:07:41.000000,carlos a day he didn't want to see or speak to anyone
140,1093105.wav,22.093999999999998,497.0,519.094,2018-12-27 05:16:45.480906,2018-12-27 05:16:45.503000,2018-12-27 05:16:46.000000,tom quickly climbed up the tree
141,1093112.wav,22.065,434.0,456.065,2018-12-27 06:55:26.543935,2018-12-27 06:55:26.566000,2018-12-27 06:55:27.000000,top with his feet up on the coffee table
142,1093444.wav,20.474,840.0,860.4739999999999,2018-12-27 00:24:51.139526,2018-12-27 00:24:51.160000,2018-12-27 00:24:52.000000,khan is quite obstinate
143,1093536.wav,25.717,370.0,395.717,2018-12-27 05:46:57.604283,2018-12-27 05:46:57.630000,2018-12-27 05:46:58.000000,calm hopes you want the leftovers again tonight
144,1093545.wav,21.678,660.0,681.678,2018-12-27 04:34:47.318322,2018-12-27 04:34:47.340000,2018-12-27 04:34:48.000000,calm her to marry was in the hospital
145,1093592.wav,32.303,479.0,511.30299999999994,2018-12-27 03:24:49.488697,2018-12-27 03:24:49.521000,2018-12-27 03:24:50.000000,tom has trouble dealing with verbal abuse
146,1093604.wav,38.019,581.0,619.019,2018-12-26 23:21:44.380981,2018-12-26 23:21:44.419000,2018-12-26 23:21:45.000000,calm has the habit of biting his nails
147,1093607.wav,21.35,319.0,340.34999999999997,2018-12-27 01:06:24.659650,2018-12-27 01:06:24.681000,2018-12-27 01:06:25.000000,calm has something to say to you
148,1093609.wav,21.267999999999997,917.0,938.268,2018-12-27 05:33:39.061732,2018-12-27 05:33:39.083000,2018-12-27 05:33:40.000000,tom has something in his right hand
149,1093806.wav,20.519,577.0,597.519,2018-12-27 06:39:03.402481,2018-12-27 06:39:03.423000,2018-12-27 06:39:04.000000,calm has nothing to say
150,1093880.wav,23.029,897.0,920.029,2018-12-27 03:42:43.079971,2018-12-27 03:42:43.103000,2018-12-27 03:42:44.000000,tom had a heart tattoos on his arm
151,1093898.wav,23.133999999999997,1036.0,1059.134,2018-12-27 00:59:22.940866,2018-12-27 00:59:22.964000,2018-12-27 00:59:24.000000,tom grew up in an orphanage
152,1093950.wav,33.599,339.0,372.599,2018-12-27 05:15:31.627401,2018-12-27 05:15:31.661000,2018-12-27 05:15:32.000000,tom got married to take him to the zoo
153,1094089.wav,22.643,898.0,920.643,2018-12-27 06:02:30.079357,2018-12-27 06:02:30.102000,2018-12-27 06:02:31.000000,how far is it really frustrating
154,1094102.wav,30.642,101.0,131.642,2018-12-26 23:01:18.868358,2018-12-26 23:01:18.899000,2018-12-26 23:01:19.000000,tom felt that he deserved an explanation of
155,1094116.wav,30.33,138.0,168.33,2018-12-27 02:23:29.831670,2018-12-27 02:23:29.862000,2018-12-27 02:23:30.000000,tom felt guilty
156,1094177.wav,24.944000000000003,975.0,999.9440000000001,2018-12-27 03:02:46.000056,2018-12-27 03:02:46.025000,2018-12-27 03:02:47.000000,common listed in the army when he was eighteen years old
157,1094246.wav,25.208000000000002,354.0,379.20799999999997,2018-12-26 23:23:10.620792,2018-12-26 23:23:10.646000,2018-12-26 23:23:11.000000,tom doesn't want to take any chances
158,1094256.wav,18.299,112.0,130.299,2018-12-27 06:03:35.869701,2018-12-27 06:03:35.888000,2018-12-27 06:03:36.000000,tom doesn't want to go home
159,1094337.wav,23.369,106.0,129.369,2018-12-27 04:11:41.870631,2018-12-27 04:11:41.894000,2018-12-27 04:11:42.000000,tom doesn't think anything that is ever going to happen
160,1094370.wav,42.755,212.0,254.755,2018-12-27 04:05:53.745245,2018-12-27 04:05:53.788000,2018-12-27 04:05:54.000000,tom doesn't need to apologize he did nothing wrong
161,1094466.wav,23.453000000000003,490.0,513.4530000000001,2018-12-26 23:15:10.486547,2018-12-26 23:15:10.510000,2018-12-26 23:15:11.000000,tom doesn't know how to dance
162,1094615.wav,19.729,913.0,932.729,2018-12-26 23:15:05.067271,2018-12-26 23:15:05.087000,2018-12-26 23:15:06.000000,tom didn't want to bother marry while she was studying
163,1094618.wav,34.757999999999996,247.0,281.758,2018-12-26 23:42:43.718242,2018-12-26 23:42:43.753000,2018-12-26 23:42:44.000000,condit in one married to think he was away on
164,1094771.wav,22.886,739.0,761.886,2018-12-27 00:58:03.238114,2018-12-27 00:58:03.261000,2018-12-27 00:58:04.000000,tom didn't have any reason why he couldn't go
165,1094774.wav,33.243,386.0,419.243,2018-12-26 23:14:18.580757,2018-12-26 23:14:18.614000,2018-12-26 23:14:19.000000,tom didn't have any idea what a married man
