audiofilename,audio_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,payloadsize,audiofilesize,audiofileobjectsize,audio_length,f_t0,f_t1,f_t2,f_t3,f_t4,f_t5,f_t6,flight_time,iothub_time,end_to_end_time,messagesendutctime,iothubutctime,s3creationutctime,audiotranslation
709098.wav,12.8117620455,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451669.52405,1543451676.64177,1543451676.6571698,1543451676.6574302,1543451676.71196,170,111284,63,3,1543451669.52406,1543451669.52408,1543451669.5242,1543451669.52721,1543451674.84338,1543451676.64168,1543451676.64174,42.783,300.0,342.783,2018-11-29 00:34:36.657217,2018-11-29 00:34:36.700000,2018-11-29 00:34:37.000000,customs official estimate open my suitcase
3205225.wav,12.606107203299999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451676.77257,1543451692.50734,1543451692.71733,1543451692.7176,1543451692.7676198,191,128256,64,4,1543451676.7725801,1543451676.7726,1543451676.7727199,1543451676.77563,1543451688.3915,1543451692.5072699,1543451692.5073302,41.621,241.0,282.6210000000001,2018-11-29 00:34:52.717379,2018-11-29 00:34:52.759000,2018-11-29 00:34:53.000000,tom just told me that he doesn't plan to take french next year
6002391.wav,12.648878273900001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451692.8282402,1543451700.85902,1543451700.87698,1543451700.87724,1543451700.9328802,161,79268,64,2,1543451692.82825,1543451692.82827,1543451692.8283901,1543451692.83199,1543451699.2026901,1543451700.8589401,1543451700.859,47.974,1075.0,1122.974,2018-11-29 00:35:00.877026,2018-11-29 00:35:00.925000,2018-11-29 00:35:02.000000,that's especially true in boston
3096836.wav,12.718692114200001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451700.98752,1543451705.4972901,1543451705.50506,1543451705.50531,1543451705.56127,153,59418,64,1,1543451700.98753,1543451700.98755,1543451700.98767,1543451700.9907699,1543451704.58761,1543451705.49721,1543451705.4972699,41.897,453.0,494.897,2018-11-29 00:35:05.505103,2018-11-29 00:35:05.547000,2018-11-29 00:35:06.000000,how could you be so sure
6124395.wav,12.4305190879,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451705.60945,1543451713.9790199,1543451713.99572,1543451713.99599,1543451714.05051,169,89192,64,2,1543451705.6094599,1543451705.6094801,1543451705.6096,1543451705.61266,1543451712.10398,1543451713.97895,1543451713.9790099,47.23,957.0,1004.23,2018-11-29 00:35:13.995770,2018-11-29 00:35:14.043000,2018-11-29 00:35:15.000000,i wonder why tom was planning to do that
4499176.wav,12.514582154500001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451714.10742,1543451719.80932,1543451719.8183901,1543451719.81865,1543451719.87113,154,69662,64,2,1543451714.10743,1543451714.10745,1543451714.10757,1543451714.11074,1543451718.75069,1543451719.80924,1543451719.8093,90.559,1091.0,1181.559,2018-11-29 00:35:19.818441,2018-11-29 00:35:19.909000,2018-11-29 00:35:21.000000,that almost never happens
1893669.wav,12.8017866125,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451719.92316,1543451724.06337,1543451724.08077,1543451724.0810301,1543451724.13446,143,40208,64,1,1543451719.9231699,1543451719.92319,1543451719.9233198,1543451719.92666,1543451722.76248,1543451724.06329,1543451724.06335,38.18,881.0,919.18,2018-11-29 00:35:24.080820,2018-11-29 00:35:24.119000,2018-11-29 00:35:25.000000,we'll be there
5740807.wav,12.953173595099999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451724.18193,1543451729.65755,1543451729.66674,1543451729.66691,1543451729.7109199,155,69662,64,2,1543451724.18194,1543451724.1819599,1543451724.18209,1543451724.18502,1543451728.35272,1543451729.65749,1543451729.65753,29.224,304.0,333.2240000000001,2018-11-29 00:35:29.666776,2018-11-29 00:35:29.696000,2018-11-29 00:35:30.000000,tom willingly went to jail
4728698.wav,11.7535224899,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451729.76504,1543451733.3715901,1543451733.3819,1543451733.38216,1543451733.43438,149,47256,64,1,1543451729.76505,1543451729.76507,1543451729.7651901,1543451729.7681198,1543451732.41707,1543451733.37151,1543451733.3715699,44.056000000000004,574.0,618.056,2018-11-29 00:35:33.381944,2018-11-29 00:35:33.426000,2018-11-29 00:35:34.000000,have a pleasant trip
4500921.wav,12.1500262725,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451733.47845,1543451739.87874,1543451739.8847802,1543451739.88503,1543451739.9402,156,63264,64,1,1543451733.47846,1543451733.47848,1543451733.4786,1543451733.48163,1543451738.74479,1543451739.87867,1543451739.8787198,40.173,1075.0,1115.173,2018-11-29 00:35:39.884827,2018-11-29 00:35:39.925000,2018-11-29 00:35:41.000000,that makes a big difference
2331570.wav,12.3091322349,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451739.98593,1543451749.35365,1543451749.4597,1543451749.46004,1543451749.51393,152,67418,64,2,1543451739.98594,1543451739.98596,1543451739.98609,1543451739.9890301,1543451747.24036,1543451749.3536,1543451749.35364,46.181000000000004,494.0,540.181,2018-11-29 00:35:49.459819,2018-11-29 00:35:49.506000,2018-11-29 00:35:50.000000,i had a dog named vicky
2407872.wav,12.981308439700001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451749.56569,1543451756.8199599,1543451756.9194698,1543451756.91981,1543451756.97054,155,62620,64,1,1543451749.5657,1543451749.5657198,1543451749.56585,1543451749.56919,1543451755.23305,1543451756.81988,1543451756.81994,40.48,1040.0,1080.48,2018-11-29 00:35:56.919520,2018-11-29 00:35:56.960000,2018-11-29 00:35:58.000000,i think i'll get some rest
3434428.wav,12.935208081199999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451757.02119,1543451764.15792,1543451764.1614301,1543451764.16159,1543451764.2106302,167,86634,64,2,1543451757.0212,1543451757.02122,1543451757.02135,1543451757.0246,1543451763.11518,1543451764.1578698,1543451764.1579099,38.539,800.0,838.539,2018-11-29 00:36:04.161461,2018-11-29 00:36:04.200000,2018-11-29 00:36:05.000000,the question is whether you doing here
2959391.wav,12.746635343900001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451764.2681699,1543451772.06347,1543451772.08941,1543451772.08967,1543451772.14146,171,86636,64,2,1543451764.2681901,1543451764.2682,1543451764.2683198,1543451764.2713199,1543451770.8076801,1543451772.0634,1543451772.0634599,40.543,870.0,910.543,2018-11-29 00:36:12.089457,2018-11-29 00:36:12.130000,2018-11-29 00:36:13.000000,i didn't realize you were interested in it
2712878.wav,12.8686355553,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451772.1967099,1543451778.0160198,1543451778.06688,1543451778.06714,1543451778.1201599,162,81186,64,2,1543451772.19672,1543451772.1967301,1543451772.19686,1543451772.19997,1543451775.91802,1543451778.01594,1543451778.016,39.075,894.0,933.075,2018-11-29 00:36:18.066925,2018-11-29 00:36:18.106000,2018-11-29 00:36:19.000000,tom continued banging on the door
5499285.wav,12.9329378671,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451778.17556,1543451783.02381,1543451783.03422,1543451783.03448,1543451783.08638,152,63260,64,1,1543451778.17557,1543451778.17559,1543451778.17572,1543451778.17884,1543451781.64626,1543451783.02373,1543451783.0237901,38.735,927.0,965.735,2018-11-29 00:36:23.034265,2018-11-29 00:36:23.073000,2018-11-29 00:36:24.000000,tom was a wonderful man
4034845.wav,12.838262939100002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451783.1366801,1543451789.85166,1543451789.8754401,1543451789.8757,1543451789.9269302,177,87284,64,2,1543451783.1366901,1543451783.13671,1543451783.13683,1543451783.13999,1543451787.8270302,1543451789.8515801,1543451789.85164,48.516000000000005,1076.0,1124.516,2018-11-29 00:36:29.875484,2018-11-29 00:36:29.924000,2018-11-29 00:36:31.000000,when are you going to pick tom up at the airport
6124053.wav,12.6209958852,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451789.98786,1543451796.11999,1543451796.1380901,1543451796.13835,1543451796.19007,155,71262,64,2,1543451789.98787,1543451789.98789,1543451789.98802,1543451789.99119,1543451794.80095,1543451796.11991,1543451796.1199698,47.861999999999995,814.0,861.862,2018-11-29 00:36:36.138138,2018-11-29 00:36:36.186000,2018-11-29 00:36:37.000000,tom was taking a huge risk
1891083.wav,12.537435170799998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451796.24301,1543451802.24304,1543451802.25211,1543451802.2523699,1543451802.30359,168,82476,64,2,1543451796.2430198,1543451796.24303,1543451796.24316,1543451796.24609,1543451801.0234802,1543451802.24296,1543451802.2430198,37.841,710.0,747.841,2018-11-29 00:36:42.252159,2018-11-29 00:36:42.290000,2018-11-29 00:36:43.000000,i'm not the only one who got here early
4014232.wav,12.7719175559,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451802.35753,1543451807.7735,1543451807.7774699,1543451807.77774,1543451807.82845,164,82472,64,2,1543451802.3575401,1543451802.35755,1543451802.35768,1543451802.3608,1543451806.76396,1543451807.77343,1543451807.7734802,42.479000000000006,1180.0,1222.479,2018-11-29 00:36:47.777521,2018-11-29 00:36:47.820000,2018-11-29 00:36:49.000000,do you recognize any of these names
4494129.wav,12.0132417634,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451807.88454,1543451815.43839,1543451815.46925,1543451815.46951,1543451815.5214698,155,68062,64,2,1543451807.88455,1543451807.8845599,1543451807.88469,1543451807.88762,1543451813.2274,1543451815.43831,1543451815.43837,41.70200000000001,489.0,530.702,2018-11-29 00:36:55.469298,2018-11-29 00:36:55.511000,2018-11-29 00:36:56.000000,how sophisticated are that
3155766.wav,12.1444406375,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451815.57372,1543451819.61922,1543451819.64083,1543451819.6410902,1543451819.69614,150,56214,64,1,1543451815.57373,1543451815.57375,1543451815.57387,1543451815.57691,1543451818.66482,1543451819.61915,1543451819.61921,46.125,313.0,359.125,2018-11-29 00:36:59.640875,2018-11-29 00:36:59.687000,2018-11-29 00:37:00.000000,tom put his hands off
1954557.wav,13.3574118113,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451819.74224,1543451832.8553,1543451832.90111,1543451832.90138,1543451832.95403,188,128254,64,4,1543451819.74225,1543451819.74227,1543451819.7424,1543451819.74542,1543451830.14721,1543451832.8552198,1543451832.8552802,54.841,1044.0,1098.8410000000001,2018-11-29 00:37:12.901159,2018-11-29 00:37:12.956000,2018-11-29 00:37:14.000000,i can't let tom be put in prison for something he didn't do
5053200.wav,12.391411666500002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451833.02388,1543451839.9391198,1543451839.95476,1543451839.95502,1543451840.0042698,158,69674,64,2,1543451833.02389,1543451833.02391,1543451833.02404,1543451833.0271301,1543451837.8483,1543451839.93904,1543451839.9391,40.198,1005.0,1045.198,2018-11-29 00:37:19.954802,2018-11-29 00:37:19.995000,2018-11-29 00:37:21.000000,mary where is too much makeup
1088158.wav,12.7387237747,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451840.05729,1543451845.25881,1543451845.26039,1543451845.26055,1543451845.29039,149,55256,64,1,1543451840.0573,1543451840.0573199,1543451840.05745,1543451840.06064,1543451844.0487,1543451845.25875,1543451845.25879,33.578,706.0,739.578,2018-11-29 00:37:25.260422,2018-11-29 00:37:25.294000,2018-11-29 00:37:26.000000,is anyone else going
6123996.wav,13.0102518281,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451845.3180802,1543451852.48665,1543451852.5072598,1543451852.50753,1543451852.55735,168,84076,64,2,1543451845.3180802,1543451845.31809,1543451845.3181698,1543451845.32043,1543451851.11934,1543451852.4865801,1543451852.48663,41.688,451.0,492.68800000000005,2018-11-29 00:37:32.507312,2018-11-29 00:37:32.549000,2018-11-29 00:37:33.000000,do you think tom might enjoy doing that
2956260.wav,12.1760859214,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451852.61432,1543451859.0975099,1543451859.18866,1543451859.18893,1543451859.242,158,70624,64,2,1543451852.61433,1543451852.61435,1543451852.61447,1543451852.61742,1543451857.68787,1543451859.09743,1543451859.09749,54.29,757.0,811.29,2018-11-29 00:37:39.188710,2018-11-29 00:37:39.243000,2018-11-29 00:37:40.000000,top can't speak french at all
5160685.wav,12.543950665899999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451859.2925901,1543451864.7618,1543451864.7666302,1543451864.76689,1543451864.8162599,153,63260,64,1,1543451859.2926,1543451859.29262,1543451859.29274,1543451859.29598,1543451863.10153,1543451864.76172,1543451864.76178,40.324,193.0,233.324,2018-11-29 00:37:44.766676,2018-11-29 00:37:44.807000,2018-11-29 00:37:45.000000,tom is currently married
4900630.wav,12.645002991300002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451864.86523,1543451871.404,1543451871.40945,1543451871.4097,1543451871.46156,161,84068,64,2,1543451864.86524,1543451864.86526,1543451864.86539,1543451864.86834,1543451870.34405,1543451871.40392,1543451871.40398,47.503,543.0,590.503,2018-11-29 00:37:51.409497,2018-11-29 00:37:51.457000,2018-11-29 00:37:52.000000,i don't understand this decision
4012566.wav,12.4008300526,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451871.5186,1543451878.04481,1543451878.04833,1543451878.04857,1543451878.0999699,152,57176,64,1,1543451871.51861,1543451871.51863,1543451871.5187302,1543451871.5218801,1543451876.37485,1543451878.0447302,1543451878.04479,40.633,911.0,951.633,2018-11-29 00:37:58.048367,2018-11-29 00:37:58.089000,2018-11-29 00:37:59.000000,there's not enough time
5374862.wav,13.0831002775,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451878.14703,1543451885.33404,1543451885.35679,1543451885.35705,1543451885.4075599,158,77982,64,2,1543451878.14703,1543451878.14705,1543451878.14718,1543451878.15031,1543451882.74321,1543451885.3339698,1543451885.33402,39.163,604.0,643.163,2018-11-29 00:38:05.356837,2018-11-29 00:38:05.396000,2018-11-29 00:38:06.000000,tom believes in reincarnation
5165776.wav,12.001715621099999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451885.46334,1543451890.2837,1543451890.32791,1543451890.3281698,1543451890.38469,152,61660,64,1,1543451885.46335,1543451885.4633698,1543451885.46349,1543451885.46646,1543451889.1807199,1543451890.2836099,1543451890.28367,43.042,629.0,672.0419999999999,2018-11-29 00:38:10.327958,2018-11-29 00:38:10.371000,2018-11-29 00:38:11.000000,just how have a bicycle
2236189.wav,12.6852920472,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451890.43217,1543451894.63895,1543451894.6473699,1543451894.64763,1543451894.69908,148,54592,64,1,1543451890.4321802,1543451890.43219,1543451890.4323199,1543451890.43532,1543451893.22985,1543451894.63888,1543451894.63893,41.581,311.0,352.581,2018-11-29 00:38:14.647419,2018-11-29 00:38:14.689000,2018-11-29 00:38:15.000000,tom couldn't change
1025262.wav,12.994829716400002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451894.74815,1543451903.8017302,1543451903.86664,1543451903.8669,1543451903.91839,159,81824,64,2,1543451894.74816,1543451894.7481802,1543451894.7483,1543451894.75136,1543451901.2425199,1543451903.80165,1543451903.80171,44.31399999999999,1089.0,1133.314,2018-11-29 00:38:23.866686,2018-11-29 00:38:23.911000,2018-11-29 00:38:25.000000,tom has to take the test again
2046873.wav,13.355028951900001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451903.97646,1543451912.11945,1543451912.15888,1543451912.15914,1543451912.21081,165,93030,64,2,1543451903.97647,1543451903.97649,1543451903.97661,1543451903.97968,1543451910.18984,1543451912.11937,1543451912.11943,38.074,803.0,841.074,2018-11-29 00:38:32.158926,2018-11-29 00:38:32.197000,2018-11-29 00:38:33.000000,i'm afraid tom is busy at the moment
4666229.wav,11.7974960759,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451912.27305,1543451918.2018301,1543451918.2095098,1543451918.20985,1543451918.26184,154,66462,64,2,1543451912.2730598,1543451912.2730699,1543451912.2732,1543451912.27625,1543451916.97885,1543451918.20176,1543451918.20181,40.445,750.0,790.4449999999998,2018-11-29 00:38:38.209555,2018-11-29 00:38:38.250000,2018-11-29 00:38:39.000000,it could take a few weeks
2645053.wav,12.6046125606,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451918.31301,1543451923.90324,1543451924.0350802,1543451924.0353599,1543451924.08867,151,64218,64,2,1543451918.31302,1543451918.31304,1543451918.31317,1543451918.3160698,1543451922.41013,1543451923.9031599,1543451923.90322,41.864,923.0,964.8639999999999,2018-11-29 00:38:44.035136,2018-11-29 00:38:44.077000,2018-11-29 00:38:45.000000,his adventure card tom
1158673.wav,13.1333879153,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451924.13904,1543451929.13097,1543451929.1493,1543451929.14956,1543451929.20439,168,75466,64,2,1543451924.13906,1543451924.13907,1543451924.1392,1543451924.1426198,1543451928.08288,1543451929.1308901,1543451929.13095,46.653999999999996,804.0,850.654,2018-11-29 00:38:49.149346,2018-11-29 00:38:49.196000,2018-11-29 00:38:50.000000,is there anyone who wants some more pie
2026595.wav,12.8572295871,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451929.26178,1543451938.28685,1543451938.2996,1543451938.29991,1543451938.35399,168,93034,64,2,1543451929.26179,1543451929.26181,1543451929.26194,1543451929.26489,1543451936.90029,1543451938.2867699,1543451938.2868302,42.358000000000004,658.0,700.3580000000002,2018-11-29 00:38:58.299642,2018-11-29 00:38:58.342000,2018-11-29 00:38:59.000000,i wanted to talk to tom about something
319211.wav,12.0600119482,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451938.4126198,1543451944.30227,1543451944.31008,1543451944.3102698,1543451944.34373,161,81186,63,2,1543451938.41263,1543451938.41265,1543451938.41277,1543451938.4156802,1543451942.21058,1543451944.3022199,1543451944.30226,41.877,648.0,689.877,2018-11-29 00:39:04.310123,2018-11-29 00:39:04.352000,2018-11-29 00:39:05.000000,my father left real large fortune
5840412.wav,12.8206160165,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451944.3726301,1543451950.13837,1543451950.15306,1543451950.15334,1543451950.2068698,154,68060,64,2,1543451944.3726401,1543451944.37265,1543451944.3727698,1543451944.37479,1543451948.1233,1543451950.1382802,1543451950.13835,39.872,807.0,846.872,2018-11-29 00:39:10.153128,2018-11-29 00:39:10.193000,2018-11-29 00:39:11.000000,khan said i sounded upset
2546803.wav,11.487779527999999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451950.26056,1543451956.6752698,1543451956.71854,1543451956.7188,1543451956.77559,151,57816,64,1,1543451950.2605698,1543451950.26059,1543451950.26076,1543451950.2637599,1543451955.3283699,1543451956.67519,1543451956.67525,60.415000000000006,221.0,281.415,2018-11-29 00:39:16.718585,2018-11-29 00:39:16.779000,2018-11-29 00:39:17.000000,i want to drink coffee
1867943.wav,11.867446099,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451956.81943,1543451963.44227,1543451963.46852,1543451963.46879,1543451963.52479,154,70644,64,2,1543451956.8194401,1543451956.81945,1543451956.81962,1543451956.82289,1543451961.9781199,1543451963.44219,1543451963.44225,42.428999999999995,489.0,531.4290000000002,2018-11-29 00:39:23.468571,2018-11-29 00:39:23.511000,2018-11-29 00:39:24.000000,com sat down on the couch
2069337.wav,11.9459868752,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451963.5764802,1543451967.8355901,1543451967.88819,1543451967.88846,1543451967.94027,162,73184,64,2,1543451963.57649,1543451963.57651,1543451963.57669,1543451963.5799,1543451966.55833,1543451967.83551,1543451967.8355699,43.75899999999999,1068.0,1111.759,2018-11-29 00:39:27.888241,2018-11-29 00:39:27.932000,2018-11-29 00:39:29.000000,some things are better not say it
3734467.wav,12.272821835999999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451967.98961,1543451975.03723,1543451975.06061,1543451975.0608802,1543451975.11304,160,81184,64,2,1543451967.98962,1543451967.98964,1543451967.98995,1543451967.99307,1543451972.6862302,1543451975.03715,1543451975.03721,38.338,901.0,939.3380000000001,2018-11-29 00:39:35.060662,2018-11-29 00:39:35.099000,2018-11-29 00:39:36.000000,tom never has a pencil with him
869564.wav,12.6458898677,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451975.16582,1543451982.5322,1543451982.54094,1543451982.5411901,1543451982.59351,153,66462,63,2,1543451975.1658301,1543451975.1658401,1543451975.1660302,1543451975.16902,1543451981.12893,1543451982.53212,1543451982.53218,55.013000000000005,404.0,459.01300000000003,2018-11-29 00:39:42.540987,2018-11-29 00:39:42.596000,2018-11-29 00:39:43.000000,i have no hair on my head
2407942.wav,12.6616477919,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451982.64567,1543451990.19497,1543451990.2035599,1543451990.20381,1543451990.25619,151,59416,64,1,1543451982.6456802,1543451982.6457,1543451982.64587,1543451982.6487598,1543451988.92185,1543451990.19489,1543451990.19495,52.397,744.0,796.3969999999999,2018-11-29 00:39:50.203603,2018-11-29 00:39:50.256000,2018-11-29 00:39:51.000000,i think it's dangerous
2852258.wav,12.2662024306,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451990.3062801,1543451994.83672,1543451994.8463,1543451994.84655,1543451994.90018,147,48212,64,1,1543451990.3062901,1543451990.30631,1543451990.3064802,1543451990.30945,1543451994.0641,1543451994.8366401,1543451994.8367,43.658,1110.0,1153.658,2018-11-29 00:39:54.846342,2018-11-29 00:39:54.890000,2018-11-29 00:39:56.000000,are you going home
4521283.wav,12.231077680699999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451994.94462,1543451999.99689,1543452000.05879,1543452000.0590599,1543452000.11317,156,79264,64,2,1543451994.9446301,1543451994.94465,1543451994.94482,1543451994.94773,1543451998.4272401,1543451999.99681,1543451999.99687,121.16,820.0,941.16,2018-11-29 00:40:00.058840,2018-11-29 00:40:00.180000,2018-11-29 00:40:01.000000,tom in mary carpool to work
2387710.wav,12.126795364300001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543452000.1663198,1543452006.73208,1543452006.82255,1543452006.82281,1543452006.8772302,152,59418,64,1,1543452000.16633,1543452000.16635,1543452000.1665099,1543452000.16965,1543452005.27833,1543452006.732,1543452006.73206,42.404,135.0,177.40400000000002,2018-11-29 00:40:06.822596,2018-11-29 00:40:06.865000,2018-11-29 00:40:07.000000,i need to rest a moment
